id,text,aspect,category,polarity,from,to
0,"The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.",speed,general,positive,4,9
1,My only gripe would be the need to add more RAM.,RAM,general,negative,44,47
2,"My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting something smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 years ago.",performed,general,positive,52,61
3,"!Excelent performance, usability, presentation and time response.",presentation,general,positive,34,46
4,Nice packing.,packing,general,positive,5,12
5,10 hours of battery life is really something else....,battery life,general,positive,12,24
6,"I am pleased with the fast log on, speedy WiFi connection and the long battery life (>6 hrs).",WiFi connection,general,positive,42,57
7,The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,HDMI port,general,negative,26,35
8,The ease of use is wonderful.,use,general,positive,12,15
9,"The battery life, before the battery completely died of course, left much to be desired.",battery life,general,negative,4,16
10,MAYBE The Mac OS improvement were not The product they Want to offer.,Mac OS,general,negative,10,16
11,It's so quick and responsive that it makes working/surfing on a computer so much more pleasurable!,working,general,positive,43,50
12,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors,general,negative,73,91
13,I find myself using the 10-key more than I thought I would.,10-key,general,positive,24,30
14,"Other installed features, such as certain printer software, are also most attractive.",printer software,general,positive,42,58
15,"Fan vents to the side, so no cooling pad needed, great feature!",cooling pad,general,neutral,29,40
16,I would like at least a 4 hr. battery life.,battery life,general,neutral,30,42
17,I cannot be happier with the service or product.,service,general,positive,29,36
18,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,general,negative,94,102
19,Love the stability of the Mac software and operating system.,stability,general,positive,9,18
20,It has a lot of memory and a great battery life.,battery life,general,positive,35,47
21,The one thing I wish it had was a detailed hardcopy manuel.,hardcopy manuel,general,negative,43,58
22,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,use,general,positive,30,33
23,"Here are the things that made me confident with my purchase:Build Quality - Seriously, you can't beat a unibody construction.",Build Quality,general,positive,60,73
24,It's software and speed enable it to do amazing things.,speed,general,positive,18,23
25,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,cd drive,general,neutral,130,138
26,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",Windows 7 Starter,general,neutral,44,61
27,"The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me, they said my warrenty was up and hung up on me.",warrenty,general,negative,172,180
28,"u can do what u want in just few seconds, even to start up your computer takes few seconds.",start up,general,positive,50,58
29,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax - plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",screen,general,positive,12,18
30,"Treat yourself to a more expensive, long-lasting laptop of quality like a Sony, Apple, or Toshiba.",quality,general,positive,59,66
31,so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.,setup,general,negative,131,136
32,"Harddrive was in poor condition, had to replace it.",Harddrive,general,negative,0,9
33,"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",Keynotes,general,positive,47,55
34,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Firefox,general,neutral,55,62
35,I now realize that my $900 would have been better spent on a Windows laptop.,Windows,general,positive,61,68
36,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",speed,general,positive,88,93
37,"It is very easy to integrate bluetooth devices, and USB devices are recognized almost instantly.",USB devices,general,positive,52,63
38,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",install,general,positive,45,52
39,"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!",applications,general,neutral,79,91
40,The only problem is a lack of screen resolutions!,screen resolutions,general,negative,30,48
41,"It's been time for a new laptop, and the only debate was which size of the Mac laptops, and whether to spring for the retina display.",size,general,neutral,63,67
42,"In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.",drivers,general,negative,349,356
43,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,keyboard,general,neutral,64,72
44,"Crisp screen, great battery life, and plenty of storage.",screen,general,positive,6,12
45,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",look,general,positive,38,42
46,Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,extended warrenty,general,negative,45,62
47,"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",game,general,neutral,103,107
48,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen,general,negative,35,46
49,"Good keyboard, long battery life, largest hard drive and windows 7.",hard drive,general,positive,42,52
50,Great pick for portability and affordability.,affordability,general,positive,31,44
51,iPhotos is an excellent program for storing and organizing photos.,iPhotos,general,positive,0,7
52,I also did not like the loud noises it made or how the bottom of the computer would get really hot.,bottom of the computer,general,negative,55,77
53,"It is a REAL touchpad, not the toy I saw in other brands.",touchpad,general,positive,13,21
54,"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",Win XP,general,neutral,80,86
55,Enjoy that Toshib force and durability unparalleled,force,general,positive,18,23
56,The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,general,negative,70,78
57,My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.,work,general,negative,89,93
58,It works great and I am so happy I bought it.,works,general,positive,3,8
59,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",picture,general,negative,11,18
60,It just works out of the box and you have a lot of cool software included with the OS.,OS,general,neutral,83,85
61,For the price and what I get out of it has exceeded my expectations.,price,general,positive,8,13
62,"It is easy to use, good quality and good price.",price,general,positive,41,46
63,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iMovie,general,positive,96,102
64,"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Windows Server Enterprise 2003,general,neutral,104,134
65,"But with this laptop, the bass is very weak and the sound comes out sounding tinny.",sound,general,negative,52,57
66,I have been PC for years but this computer is intuitive and its built in features are a great help,built in features,general,positive,64,81
67,although its windows vista compared to windows xp sucks.,windows vista,general,negative,13,26
68,"As a die-hard Windows enthusiast, I shunned the idea of a Mac until this point.",Windows,general,positive,14,21
69,I will never go back to Windows!,Windows,general,negative,24,31
70,"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).",TFT panel,general,negative,45,54
71,My one complaint is that there was no internal CD drive.,internal CD drive,general,negative,38,55
72,It had some kind of pre installed software update that completely shut the computer down when you clicked it.,pre installed software update,general,negative,20,49
73,"Unfortunately, Apple's quality has continued to slide.",quality,general,negative,23,30
74,The online tutorial videos make it super easy to learn if you have always used a PC.,online tutorial videos,general,positive,4,26
75,I will have to purchase Spy ware or Nortell for privacy protection.,Spy ware,general,neutral,24,32
76,"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,general,negative,90,94
77,"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",3 year warranty,general,negative,50,65
78,"Navigation through the computer is far superior compared to Windows operating systems, as well.",Windows operating systems,general,negative,60,85
79,Can listen to my music and watch my videos with ease and with a great display.,display,general,positive,70,77
80,"I seem to be having repeat problems as the Mother Board in this one is diagnosed as faulty, related to the graphics card.",Mother Board,general,negative,43,55
81,Wonderful zooming.,zooming,general,positive,10,17
82,"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.",Microsoft Office apps,general,positive,41,62
83,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,general,negative,136,153
84,"The performance seems quite good, and built-in applications like iPhoto work great with my phone and camera.",iPhoto,general,positive,65,71
85,can't reinstall with standard os cd because of proprietary hardware drivers.,proprietary hardware drivers,general,negative,47,75
86,"At home and the office it gets plugged into an external 24"" LCD screen, so built in screen size is not terribly important.","external 24"" LCD screen",general,neutral,47,70
87,Fan noise: The fan made a constant hissing noise in the background.,Fan,general,negative,0,3
88,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,general,positive,65,75
89,Very nice unibody construction.,unibody construction,general,positive,10,30
90,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,general,positive,8,16
91,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,general,neutral,58,78
92,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,general,negative,70,77
93,in May I started having problems with the USB ports not working.,USB ports,general,negative,42,51
94,the battery is irreplaceable.,battery,general,negative,4,11
95,"I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming.",gaming,general,neutral,64,70
96,"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",gaming,general,neutral,107,113
97,"After way too many times sending the thing in for repairs (delivery service was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.",delivery service,general,negative,59,75
98,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iTunes,general,positive,110,116
99,I have no idea how this could have even gotten past quality control during production.,quality control,general,negative,52,67
100,"The price is great for this model, I only plan on using it for media in the entertainment room.",price,general,positive,4,9
101,Right size and weight for portability.,portability,general,positive,26,37
102,Incredible graphics and brilliant colors.,colors,general,positive,34,40
103,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",software,general,positive,37,45
104,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,software,general,negative,121,129
105,"Note, however, that any existing MagSafe accessories you have will not work with the MagSafe 2 connection.",MagSafe 2 connection,general,negative,85,105
106,This newer netbook has no hard drive or network lights.,network lights,general,neutral,40,54
107,"I am constantly trying to uninstall programs, clean cookies, and delete unused files.",programs,general,neutral,36,44
108,Product support very poor as each phone call costs me long distan,Product support,general,negative,0,15
