id,text,aspect,category,polarity,from,to
0,"I am so glad to have found this course ! ! I had taken a course on MOS transistor operation during grad school , and never quite felt comfortable with the material , since not much time was spent discussing how the relevant mosfet equations came about . Professor Tsividis ' s discourse is like a breath of fresh air . They are so lucid that I feel I understand the material better now . The course is well structured ; as I go through it systematically , I can see how one lesson connects to the concepts presented in a previous one . Thank you so much , Dr . Tsividis for sharing your enthusiasm and knowledge about this topic .",course,general,positive,32,38
1,"I am so glad to have found this course ! ! I had taken a course on MOS transistor operation during grad school , and never quite felt comfortable with the material , since not much time was spent discussing how the relevant mosfet equations came about . Professor Tsividis ' s discourse is like a breath of fresh air . They are so lucid that I feel I understand the material better now . The course is well structured ; as I go through it systematically , I can see how one lesson connects to the concepts presented in a previous one . Thank you so much , Dr . Tsividis for sharing your enthusiasm and knowledge about this topic .",professor tsividis,general,positive,254,272
2,Marvelous course ! I had a wonderful time learning and enjoying the lessons ! I am very grateful for both ! Professor Maya made everything so special because I could sense it was a pleasure to her educating her students and sharing this education with her family members . I am eager to learn more from her and looking forward to her next course ! Adriana Bonorino de Aragão,course,general,positive,10,16
3,Marvelous course ! I had a wonderful time learning and enjoying the lessons ! I am very grateful for both ! Professor Maya made everything so special because I could sense it was a pleasure to her educating her students and sharing this education with her family members . I am eager to learn more from her and looking forward to her next course ! Adriana Bonorino de Aragão,professor maya,general,positive,108,122
4,"I enjoyed this course and recommend it . Prof . Fowler is very didatic and funny , and makes the classes nice to watch . I found some of the exercises a little harder than the content given , and the support is not that perfection yet , but one can find some good help in the foruns if ask in advance ( in my case , I must thank a lot my peers Brian and Richard . . . they were true mentors ) . Anyway , if you have some interest in series , I am sure you will enjoy this course .",course,general,positive,15,21
5,"I enjoyed this course and recommend it . Prof . Fowler is very didatic and funny , and makes the classes nice to watch . I found some of the exercises a little harder than the content given , and the support is not that perfection yet , but one can find some good help in the foruns if ask in advance ( in my case , I must thank a lot my peers Brian and Richard . . . they were true mentors ) . Anyway , if you have some interest in series , I am sure you will enjoy this course .",prof . fowler,general,positive,41,54
6,"I enjoyed this course and recommend it . Prof . Fowler is very didatic and funny , and makes the classes nice to watch . I found some of the exercises a little harder than the content given , and the support is not that perfection yet , but one can find some good help in the foruns if ask in advance ( in my case , I must thank a lot my peers Brian and Richard . . . they were true mentors ) . Anyway , if you have some interest in series , I am sure you will enjoy this course .",exercises,general,negative,141,150
7,"I enjoyed this course and recommend it . Prof . Fowler is very didatic and funny , and makes the classes nice to watch . I found some of the exercises a little harder than the content given , and the support is not that perfection yet , but one can find some good help in the foruns if ask in advance ( in my case , I must thank a lot my peers Brian and Richard . . . they were true mentors ) . Anyway , if you have some interest in series , I am sure you will enjoy this course .",prof . fowler,general,negative,41,54
8,"I enjoyed this course and recommend it . Prof . Fowler is very didatic and funny , and makes the classes nice to watch . I found some of the exercises a little harder than the content given , and the support is not that perfection yet , but one can find some good help in the foruns if ask in advance ( in my case , I must thank a lot my peers Brian and Richard . . . they were true mentors ) . Anyway , if you have some interest in series , I am sure you will enjoy this course .",foruns,general,positive,276,282
9,"Important note : Opt for this course only if you plan to do the entire specialisation . It is developed solely for the specialisation and not as a standalone course . You will not learn much concepts or theories or practice any R programming here . In general this course was basic and good enough to get someone started for specialisation . The video lectures for setting up R , RStudio and Github account were helpful and very basic ( maybe coz I already had an github account ) .",course,general,negative,30,36
