id,text,aspect,category,polarity,from,to
0,"they ' re exactly what i had hoped for , fun colors and a nice fit , however they run pretty large ! i ' m typically a men ' s us 10 , even in adidas , but with these shoes i can safely say i ' m an 8 . 5 . i ordered the 10s and returned them for a 9 and there is still room at the toes of my shoe for me to move down half a size .",shoe,performance#sizing/fit,negative,167,171
1,it ' s a kind of sneaker that l will recommend for both unisex . i feel so comfortable in it,implicit,performance#comfort,positive,-1,-1
2,"shoes looked good , but felt too stiff and were a bit noisy . not very comfortable to wear a long time",implicit,performance#comfort,negative,-1,-1
3,i have had these shoes for less than a month and the gold stripe is already coming off one shoe . it is starting to come off on the other as well .,gold stripe,appearance#shoe component,negative,53,64
4,had to order a larger size than what i normally wear . shoe would be better if offered as an adjustable shoe . shoe is overpriced for quality . i bought cheaper slides in the past that were more comfortable .,shoe,appearance#form,neutral,55,59
5,"have worn new balance for many years . have always worn same size and width ( 13 - 4e ) . last ones of same size were too short and too narrow . went up to 14 4e , almost too long and felt almost like a medium width . have purchased my last pair of new balance .",14 4e,performance#sizing/fit,negative,156,161
6,"these are true to fit , attractve , but quality is lacking . i bought these to replace leather nike sneakers to wear while working out on the treadmill . i gave them a couple of weeks to soften up , but i am disappointed with the results . nb reputation with me has definitely been diminished . i will never buy ' pleather ' shoes again .",implicit,appearance#general,positive,-1,-1
7,"i started getting back into running after many years . i ' d forgotten how much i like it . i had another brand of shoe , and started having lower back pain . i got these new balance and feel great and actually look forward to my morning runs again !",new balance,performance#use case applicability,positive,171,182
8,"how is it gonna say unisex then plaster "" girls are awesome "" all over them ? . . . . kinda dumb imo . . . . i woulda copped these for sure otherwise , they fire",implicit,appearance#form,positive,-1,-1
9,"i love leopard print so , i wanted to love these shoes but couldn ' t . they were very uncomfortable on my feet and all i did was walk across the living room . i ' ve never experienced a shoe that hurt the bottoms of my feet . it was a cute shoe though !",leopard print,appearance#color,negative,7,20
10,"the color on the site has neutral beige / brown tones , unfortunately , in person the color is all gray . don ' t buy if you ' re expecting anything other than bland gray . will be returning immediately .",color,appearance#color,negative,4,9
11,"i do a lot of hiking . right out of the box this boots change my life . i am flat foot on my left foot , yet the 10 1 / 2 wide was adequate for my issue . i previously own timberland and expect my new purchase to perform just as well keeping my feet dry and comfortable . i like the styles and purchase the brown because the green timberland logo was so cool . enjoy !",implicit,performance#use case applicability,neutral,-1,-1
12,"delivery driver : comfortable but , tongue too thin - almost just a piece of cloth ; laces too thin - feel like they ' re going to break when tying ; needs a brace support on inside like other zig tech shoes ; just a few things and you wouldn ' t need any other shoe - at least not for my job . up and down stairs , in and out truck . . . . . . .",shoes,performance#comfort,positive,202,207
13,"i have flat feet and this shoe has the arch support inside of it that was painful to me . the shoe was also heavy and felt like bricks on my feet . they weren ' t for me , but might be for someone else as i returned them",shoe,appearance#form,negative,26,30
14,"bought this shoe for grandson for christmas , but was disappointed that it was not the shoe that was pictured in the ad . shoe advertised as acg but this is not what i received . returned to store for larger size and was told that it ' s the same shoe , but i do feel this is false advertisement . other than that looks good , wears well",implicit,appearance#general,positive,-1,-1
15,"just bought these as a replacement for my old winter boots . so far so good . waterproof , warm and comfortable . good for muddy hikes and after skiing walking around .",implicit,appearance#material,positive,-1,-1
16,the shoes are cute in the picture . . . . but total opposite in person . the shoes look bulky and wide and reminds me of the style shoes that we ' re out in my middle school days . they appear wide but actually fits small .,implicit,performance#sizing/fit,negative,-1,-1
17,"i ' m truly satisfied with this purchase ! ordered a size 7 but it was too small , so i ended up getting a 7 . 5 still a little snug but better . the exchange process was very easy . overall the shoe is superrrr comfortable and i love the style . i now know i wear a size 8 in reebok : )",purchase,cost/value,positive,32,40
18,purchased the black denim . the shoes are so cute in pics but irl they are so wide and bulky . they might look ok with pants . had to swap them out for another style,implicit,contextofuse#use case,neutral,-1,-1
19,"classic shoe . light and comfortable . tongue and suede are a bit stiff , but expect will soften with wear . clean and stylish classic .",implicit,appearance#general,positive,-1,-1
20,nike always change the structure of shoes that dont fit right even though they are the same size . if this helps sumit my advice for a gift card .,nike,contextofuse#purchase\_context,negative,0,4
21,hard to describe the sole of this shoe & how it feels . it ' s very unnatural & not something i want to wear . so much cushion in odd places . the sides of the sole showed wrinkles from just a few steps . i did like the style & unique look,cushion,appearance#shoe component,negative,119,126
22,jibitz came off and were lost the same day . waste of money,jibitz,contextofuse#usage frequency,negative,0,6
23,these shoes have a lot of cushion and feel great but don ' t have a lot of ankle support . i read a lot of the reviews that suggested to size up half size but i wish i would ' ve stuck with my normal 7 . 5 instead of getting an 8 .,ankle,appearance#shoe component,negative,75,80
24,i ' m very happy with my purchase ! ! great quality and support !,implicit,appearance#misc,positive,-1,-1
25,love this shoe . it ' s one of my all - time favorite classic shoes .,shoes,contextofuse#review\_temporality,positive,62,67
26,"these run too small so i had to send them back . my fave nb running shoe is no available in my size , so i ' ll have to try again .",nb running shoe,contextofuse#purchase\_context,negative,57,72
