id,text,aspect,category,polarity,from,to
0,I actually liked this book better than the previous 2 .,book,Book#General,positive,22,26
1,Interesting for the first half but then I lost interest .,implicit,Content#Plot,negative,-1,-1
2,"The author is a great storyteller , and he successfully breaks down a technical subject into interesting easy-to-understand anecdotes .",author,Book#Author,positive,4,10
3,"If you 're looking for a great read and not much of a fan of Gordon Ramsays , then I do n't recommend , hence the 3 stars .",read,Book#General,neutral,31,35
4,This is not my favorite Lackberg novel .,Lackberg,Book#General,negative,24,32
5,Hands down the best book one could ever read about Princess Diana and feel the real person that she is.If you only buy one book about her this is the one everyone should buy .,book,Content#Plot,positive,20,24
6,This is really 2 stories in one which is a clever way of maintaining the reader 's interest .,way,Book#Quality,positive,50,53
7,"I enjoyed the interplay of the close relationships in a small Swedish town , Patrick and Erica are planning their marriage while Erica is busy with her sister 's feelings about having been placed in a kill or be killed situation .",implicit,Content#Plot,positive,-1,-1
8,"I 'm a hardcore thriller reader so this one does n't quite match up to the edge of the seat , ca n't wait to read what happens next books ..",books,Book#General,positive,132,137
9,I 've always been a big fantasy fan .,implicit,Book#General,positive,-1,-1
10,"She was a better fit for the narrative , but including her account for that purpose didn't strike the right tone to me.I 'd also like to have seen Mukherjee become more of a prognosticator in later chapters .",account,Content#Plot,negative,59,66
11,"There are some great scenes between Erica and her sister , but not enough with her and her best friend Dan or between her and Patrik , but Erica is too strong of a character to be a mere subplot .",scenes,Content#Plot,negative,21,27
12,"I enjoyed this book , tho I thought it a little wordy in places .",book,Book#General,positive,15,19
13,The 3 lady 's courage can be found to be inspirational & a lesson to us all .,lady,Content#Plot,positive,6,10
14,"Tighter editing of unnecessary and endless discussions of food , the sweating habits of large men and the impact of tampax failure on luminol results would have gone a long way .",implicit,Content#Plot,negative,-1,-1
15,"I thought R.A. Salvatore 's decline with Drizzt was bad , the Rift War 's legacy going this far down the crapper is astonishing.Kill them all and be done with it Mr. Feist .",implicit,Book#General,negative,-1,-1
16,"Although I 'm a big fan of Camilla Lackberg , Gallows Bird was n't up to the standard of the earlier 3 books which were all much better written , far better plots / better story lines , this could n't compare to her other books , plus it was so confusing and overly wordy and it did n't make that much sense .",Camilla,Book#Author,positive,27,34
17,"Starting off , I am a huge fan of this genre .",genre,Content#Genre,positive,39,44
18,"Rina 's religious ideas and spirituality are thought provoking , giving the reader -- - through her conversations with her husband and others -- - new ways to think about guilt , innocence , sin and the importance of family.THE BURNT HOUSE is a great read with the right number of twists and turns and the always reliable character of Peter Decker .",twists,Content#Plot,positive,281,287
19,Celeste Jones ' book is a no-holds-barred riveting story that starts out in high gear and gets right into the story - a true story - of growing up in a cult with a very peculiar set of life philosophies .,Celeste,Book#General,positive,0,7
20,"I recommend this , or any other book by this author , especially if you are considering becoming a foster parent or a social worker .",book,Book#General,positive,32,36
21,I would certainly suggest that this book is worth reading .,book,Book#General,positive,36,40
22,The mistakes are so glaring that it actually soured my read of the entire book .,mistakes,Book#Quality,negative,4,12
23,"Period.Hands down , my favorite author in the genre , possibly favorite in all genres , Feist let me down with this book .",author,Book#Author,positive,32,38
24,"Definitely more in the style of Clive Cussler than Dan Brown as has been mentioned elsewhere , this book was never boring , with plenty of interesting characters with intertwined pasts to keep the plot interesting .",plot,Content#Plot,positive,197,201
25,"It 's a dense and difficult read at times , not to mention emotional , but I enjoyed it immensely .",implicit,Book#General,positive,-1,-1
26,"The ending while not a shock , was some what unexpected .",ending,Content#Plot,neutral,4,10
27,Sadly it also shows that sometimes full recovery is never possible .,implicit,Content#Plot,negative,-1,-1
28,I just didn't care about the characters.Steve Berry 's The Alexandria Link is a far better read about the burial place of Alexander and has more action and suspense .,characters.Steve,Content#Plot,positive,29,45
29,Really shows the big picture .,implicit,Content#Plot,positive,-1,-1
30,It was hard for me to put it down.Well done !,implicit,Book#General,positive,-1,-1
31,"A refreshing realism , combined with excellent writing .",realism,Book#General,positive,13,20
32,"I cried for this little girl , The foster mom Cathy Glass was a terrific person and I would recommend this to anyone it truely was a remarcable , wonderful story .",girl,Content#Characters,neutral,24,28
33,"Another compelling story of magic , wonder , intrigue and mayhem .",story,Content#Plot,positive,19,24
34,I went back and read this one now and they were just as enjoyable .,this,Book#General,positive,21,25
35,I thoroughly enjoyed as it explained the history of diagnosing / treating cancer .,implicit,Content#Plot,positive,-1,-1
36,"The books are so well written and so mesmerizing that once started , you can not put a book down .",books,Book#General,positive,4,9
37,It is VERY well written .,implicit,Book#Quality,positive,-1,-1
38,"Was hoping to read more from this author but when I went to see what to read next by Cathy Glass , all of her books are out of my fixed income .",books,Book#Prices,positive,110,115
39,It was boring and long winded .,implicit,Book#General,negative,-1,-1
40,lackberg is a major writer .,lackberg,Book#Author,positive,0,8
41,"Here he ties together magic , spies , political intrigue and military action into a fine web , reeling the reader in .",implicit,Content#Plot,positive,-1,-1
42,"If she keeps leaning on these narrative crutches to create tension , I might not make it through too many more books , which would be too bad .",narrative,Book#Quality,negative,30,39
43,"I found this book to be very intense , interesting , and extremely informative .",book,Book#General,positive,13,17
44,There 's virtually no suspense and no payoff .,implicit,Content#Plot,negative,-1,-1
45,This gave the whole book a frustrating feel .,implicit,Content#Plot,negative,-1,-1
46,"I quite enjoyed this book , and not just because I like food , or am a fan of Ramsay ( I confess to both ) .",Ramsay,Book#Author,positive,78,84
47,Beautifully written and mega-informative on a topic in which we all have an interest .,implicit,Book#General,positive,-1,-1
48,A bit difficult in the beginning to follow the parallel stories butgot better worth finishing .,stories,Content#Plot,positive,56,63
49,"It even battered me down at times , with the books getting increasingly harder to get through .",implicit,Book#General,negative,-1,-1
50,"Second , from a scientific perspective it is a fascinating , challenging and complex topic.This is an extremely well written , well planned out and organized book .",book,Book#Quality,positive,158,162
51,"I wasn't that enthralled with this book , so doubt I will read any further entries from this author .",book,Book#General,neutral,35,39
52,I wish Penny was alive to write more books .,Penny,Book#Author,positive,7,12
53,"I really enjoyed this book , which actually surprised me .",book,Book#General,positive,22,26
54,"When I actually get time to sit down and read ( Kids , grandkids , Job ) , Kellerman grabs my attention with ease and transports me quickly into Rina and Peter 's adventures .",Kellerman,Book#Author,positive,75,84
55,Was a gift .,gift,Book#General,positive,6,10
56,"The only reason I could find as to why I wanted to read such a book , was in the hope that the 3 lady 's were now back together & leading 'normal ' lives.If you are planning to purchase this book , the details , I found , are very explicit .",3,Content#Characters,positive,95,96
57,A friend gave me The Ice Princess and I loved it !,The,Book#General,positive,17,20
58,I really wish that we ould change things so that stories like this do n't have to happen .,stories,Content#Plot,negative,49,56
59,"I find myself not even able to think of anything clever to title this review ( assuming I am ever clever in the first place ) .I had high hopes for this novel as it dealt with the long-hidden tomb of Alexander The Great , and the discovery that there may be a treasure trove of ancient artifacts buried with him up for grabs.Daniel Knox , the protagonist of the book , is your average , run of the mill 'hero ' for a novel of this ilk ... .he of course gets swept up in a quest to find the purported treasure , and of course the requisite bad guys and damsel in distress that he 'seemingly ca n't resist ' make appearances throughout the book.What does n't make an appearance , to me , is a plot that shows anything more than the most basic of research into the life and death of one of the greatest warriors in history ... a man who changed the face of Greece and Macedonia in his efforts to conquer the world.For a book to just kill time with , this will certainly do the trick .",book,Book#General,neutral,362,366
60,"The set of books are cute , but very small .",set,Book#General,negative,4,7
61,Another excellent read which loses nothing in translation,translation,Book#General,positive,46,57
62,The best account of a portion of the history of medicine .,account,Content#Plot,positive,9,16
63,"Feist has never been great on the romance aspect of such novels , and A Crown Imperiled is no exception , but there are some surprises that keep the pages turning , and have me looking forward to the next , and supposedly final , volume .",A,Book#General,negative,7,8
64,Also explains the complexity of this one thing we call cancer .,implicit,Book#General,positive,-1,-1
65,But there 's another kind of enjoyment I get from Hobb 's work .,Hobb,Book#General,positive,50,54
66,"In this series , the characters are less likeable ( the protag was downright boring in Book Two ) and the plot plays one annoying note over and over again ( save the trees ! ) .",plot,Content#Plot,negative,106,110
67,This is a perfectly self-contained work that hints at a world full of stories .,work,Book#General,positive,35,39
68,"I am on the edge of my seat to finish the last book , this one was epic !",book,Content#Plot,positive,47,51
69,"This was n't my favorite series by Hobb , but I surely applaud the endeavor.Renegade 's Magic was n't , to my mind , the best conclusion to any of her trilogies .",series,Book#General,positive,25,31
70,"But that 's also why I found the last third of the book tremendously exciting.As a whole , the Soldier Son trilogy was a more than excellent series , and Robin Hobb 's storytelling surpasses everything I have read .",Soldier,Book#General,positive,95,102
71,"The ending where she served up a hook for her next book was annoying , irritating and blatantly unsubtle and patronising to an intelligent readership.I enjoyed the second half of the book more than the first , despite the gripes mentioned above .",ending,Content#Plot,negative,4,10
72,"A horrible novel.No police force talks and acts like this.The plt was vague , , characters preform like zombies.the main word used is sodding '. awful book",novel.No,Content#Plot,negative,11,19
73,This book will make you interested in the histories of the various cancers as well as the evolution of treatments .,book,Book#General,positive,5,9
