id,text,aspect,category,polarity,from,to
0,"Battery drains too fast on the running of location services and the battery last around 8 to 9 hours while using location services continuously . The PPI should have to more as compared to previous smartphone . The brightness is very low as mentioned by the realme . It ' s not around 1300 nits as I have another phone which has peak brightness of 1000 nits and much more brighter than GT 2 . Hence , the peak brightness of GT 2 is less than 1000 nits .",battery,general,negative,0,7
1,"Battery drains too fast on the running of location services and the battery last around 8 to 9 hours while using location services continuously . The PPI should have to more as compared to previous smartphone . The brightness is very low as mentioned by the realme . It ' s not around 1300 nits as I have another phone which has peak brightness of 1000 nits and much more brighter than GT 2 . Hence , the peak brightness of GT 2 is less than 1000 nits .",gt 2,general,negative,386,390
2,"If you are confused between iqoo 9se and realme GT2 . I can say that just buy realme , it is full of features , customization and it ' s look is super . I must say if you want a balanced phone in every term , you should look to this phone .  BUT BUT BUT  There is a major problem which is Direct video call from google dailer . When I tried to do video call then it only shows black screen on both mobiles so buy it if you are a gamer not for official use . This is a suggestion for you all",realme gt2,general,positive,41,51
3,"If you are confused between iqoo 9se and realme GT2 . I can say that just buy realme , it is full of features , customization and it ' s look is super . I must say if you want a balanced phone in every term , you should look to this phone .  BUT BUT BUT  There is a major problem which is Direct video call from google dailer . When I tried to do video call then it only shows black screen on both mobiles so buy it if you are a gamer not for official use . This is a suggestion for you all",realme gt2,general,negative,41,51
4,"There is an issue with the mobile . Especially for me this mobile is having calling issues , charging issue , video call was not connected at all . How to rectify that I didn ' t understand .",mobile,general,negative,27,33
5,Iam using this phone 2days . Camera quality are just not so good but not bad . But performance are too good for this budget . Design is good but camera circle are very big . Battery are good . Display are very good .,camera,general,neutral,29,35
6,Iam using this phone 2days . Camera quality are just not so good but not bad . But performance are too good for this budget . Design is good but camera circle are very big . Battery are good . Display are very good .,phone,general,positive,15,20
7,Iam using this phone 2days . Camera quality are just not so good but not bad . But performance are too good for this budget . Design is good but camera circle are very big . Battery are good . Display are very good .,camera,general,negative,29,35
8,Iam using this phone 2days . Camera quality are just not so good but not bad . But performance are too good for this budget . Design is good but camera circle are very big . Battery are good . Display are very good .,battery,general,positive,174,181
9,Iam using this phone 2days . Camera quality are just not so good but not bad . But performance are too good for this budget . Design is good but camera circle are very big . Battery are good . Display are very good .,display,general,positive,193,200
10,"It ' s display , design is awesome . Battery backup is also good For day to day activities it is best Camera is also good enough under this price segment And also charming thing the mini capsule But don ' t purchase it for gaming , it can run games but for long term it may slower the performance . I give 4 / 5 rating as it a worthy phone under this budget .",display,general,positive,7,14
