id,text,aspect,category,polarity,from,to
0,This college is the worst thing that has ever happened to education .,college,general,negative,5,12
1,I have had nothing but good experience with them .,experience,general,positive,28,38
2,"E*trade is just too expensive and you don't get anything out the ordinary for your money , just higher commission charges !",commission charges,general,negative,103,121
3,I wanted to start classes May 23 but she wanted me to wait until the start date in July so my paperwork work for finacial aid does not have to be rushed and I can see where I stand with aid .,paperwork,general,positive,94,103
4,I am enrolled at CTU Online in thier Masters of Science/Management program .,CTU Online,general,neutral,17,27
5,A lot of work for a worthless degree is not my idea of value .,degree,general,negative,30,36
6,"I generally find the work and reading to be moderately challenging , and enjoy doing most of it .",reading,general,positive,30,37
7,"The E-Trade Knowledge Center can make investing for the first time a whole lot less intimidating , and I'd rate the amount of research available to the user as above average .",E-Trade Knowledge Center,general,positive,4,28
8,"A simple keyword search should lead you to what you're looking for , but be forewarned-- depending on what you're looking for , your search could lead you to quite a selection !",keyword search,general,positive,9,23
9,E*Trade makes available a variety of customer service,E*Trade,general,positive,0,7
10,Paypal's phone help told me there was nothing they could do .,Paypal's phone help,general,negative,0,19
11,Have noticed some others here are giving UMUC 4 or 5 stars - Don't believe them : This is a case of the Emperor's New Clothes if ever there was one !,UMUC,general,negative,41,45
12,"Although E*Trade may be cheaper than seeking the services of a professional broker , I am at times led to question whether the discount is really worth the hassle .",E*Trade,general,negative,9,16
13,"The textbooks help with the foundation and basics of the class , and the research papers help you to expand on that knowledge .",textbooks,general,positive,4,13
14,The course material I feel is sufficient and I've yet to have any real problem with people in my team .,course material,general,positive,4,19
15,I also here a lot of complaints directed at the faculty and staff at UMUC-ED .,UMUC-ED,general,negative,69,76
16,"We all had day jobs in the MIS program , and coming home after 10+ hours to spend 1-2 hours writing discussion question answers was not what I would have preferred .",discussion question,general,negative,100,119
17,Great follow up on finding employment opportunities .,employment opportunities,general,positive,27,51
18,Your courses get called off too many times .,courses,general,negative,5,12
19,I didn't experience any bad customer service and was very pleased with practor exams which I had to take while I was deployed .,customer service,general,positive,28,44
20,"I would say the recruiters/finance and advising groups were all as pushy as the other and "" brick and mortar "" schools can't even compare to the curriculum that I received and will continue to receive at CTU Online !",recruiters/finance,general,neutral,16,34
21,"I made the mistake of upsetting one of my , supposedly professional , professors and he took it upon himself to find reasons to second guess every decision I made .",professors,general,negative,70,80
22,I have and can attest by my account that Etrade is better .,Etrade,general,positive,41,47
23,"The course texts were too basic , and for intro level students , I expected something more challenging form the UMUC experience .",texts,general,negative,11,16
24,"Devry is very expensive , one of the most expensive schools of its kind .",Devry,general,negative,0,5
25,Wish List ( great for Christmas or birthdays ),Wish List,general,positive,0,9
26,And worst of all ETrade is dishonest .,ETrade,general,negative,17,23
27,"E*Trade , on the other hand , has a huge jumble of advice and opinions and trading tools and real portfolios and watch portfolios and there's just no easy way to do anything .",E*Trade,general,negative,0,7
28,The variety of lists offered by Egroups is just that wide .,Egroups,general,positive,32,39
29,Why eTrade would tell me my account was set up to begin with and let me purchase securities without having money in my eTrade account sounds like a stupid way to run a business .,business,general,negative,168,176
30,"Yes , things could be done better , but I guarantee that it is the BEST University with a home-base overseas if only for it’s broad range of programs ( in comparison ) , it’s quality of education , and it’s flexibility .",flexibility,general,positive,207,218
31,They have this wonderful EduCard program they try to sell you the problem in my experience is they got it wrong .,EduCard program,general,positive,25,40
32,"Access to IPOs : As an Etrade customer , you get access to some of the hottest ipos ever .",Etrade,general,positive,23,29
33,on the East coast that I met through eGroups .,eGroups,general,positive,37,44
34,The concept is really cute !,concept,general,positive,4,11
35,"Well , the online counslor pissed me off so bad , I refused to attend .",online counslor,general,negative,11,26
36,"E*trade may be a reputable website and service for buying and trading stocks , but their mortgage and lending department is a joke with terrible customer service .",E*trade,general,positive,0,7
37,The use of teams with members scattered all over the globe made for some long nights and difficult coordination to complete the class assignments .,assignments,general,negative,134,145
38,My little group of students and extended family really enjoyed eCircles while we were small .,eCircles,general,positive,63,71
39,"The education system is top range BUT administration , IT and finance are quite messy though .",IT,general,negative,55,57
40,Being able to run an email list for free was excellent .,email list,general,positive,21,31
41,"The only problems I have encountered is that sometimes , mail seems to be very slow in getting to me and can sometimes be a couple days behind when I get them .",mail,general,negative,57,61
42,Never opened a single book they sent me and they were never even referenced by instructors .,instructors,general,negative,79,90
43,"I'd say there's a lot of student disenchantment with UMUC courses and programs , and UMUC administration .",UMUC administration,general,negative,85,104
44,"Basically , Yahoogroups is an effective communication tool for sharing ideas and files , but the interface is slow due to the inherent slowness of its bulletin board format .",interface,general,negative,97,106
45,I was suckered by a traditional college that did nothing to prepare me for the field I was studying ; DeVry on the other hand is actually preparing me for my intended field as well as educating me on other aspects meaning there is more than one field I could go into .,DeVry,general,positive,102,107
46,"They give decent maps however more often than not , their directions get me lost .",directions,general,negative,58,68
47,Iam speaking from experience here and UoP has helped me in my career and you do learn new things .,UoP,general,positive,38,41
48,Egroups gives me a way to learn and share with people I may have never encountered otherwise .,Egroups,general,positive,0,7
49,I've had a great experience at UMUC .,experience,general,positive,17,27
50,"In fact , all you can expect to do at Capella is read and write ( in the traditional , visually unappealing , and very boring way ) .",Capella,general,negative,38,45
51,"I'd say there's a lot of student disenchantment with UMUC courses and programs , and UMUC administration .",programs,general,negative,70,78
52,Etrade is now one of the more expensive places to trade .,Etrade,general,negative,0,6
53,I have made so much more money and gotten so many more hits since I joined egroups .,egroups,general,positive,75,82
54,Their rates are fair and their site works reasonably .,site,general,positive,31,35
55,E*Trade is a fine choice for low maintenance trading .,E*Trade,general,positive,0,7
56,"So , after hearing negative stories about some of their programs not being accredited , and actually reading on the internet that they do not offer accredited online courses , degrees , or programs , this has shown me that the University of Phoenix is nothing more than a criminal hoax .",University,general,negative,227,237
57,The last thing I would like to bring up is that egroups does not discriminate .,egroups,general,positive,48,55
58,"At first I didn't know about eCircles , but after I set up my circle , it was very easy to upload pictures of my new baby boy .",eCircles,general,positive,29,37
59,"If you're a long-term investor , this kind of turnaround is fine , and the help via email is usually thorough and helpful .",help,general,positive,75,79
60,"E*trade is just too expensive and you don't get anything out the ordinary for your money , just higher commission charges !",E*trade,general,negative,0,7
61,"Despite all those bad comments on the unversity , I have read a couple of good ones explaining most of those negative comments and essentially making the writers of the negative opinions sound like lazy people .",unversity,general,negative,38,47
62,"To be completely honest , I was extremely disappointed with the University from many aspects .",University,general,negative,64,74
63,Capella is a junk degree sold to a disenfranchised group who are looking for a Ph D in all the wrong places .,Capella,general,negative,0,7
64,The disappointing part of the program was that the professors would generally only mark your postings with a green S ( substantiative=good ) or a red U ( unsubstantiative=poor ) .,professors,general,negative,51,61
65,I began to realize what a long route MapQuest took me just to get on the freeway .,MapQuest,general,negative,37,45
66,"I graduated from the University of Virginia ( UVA ) for my undergraduate degree , and the work at UOP was at least as hard as the work at UVA , which is one of the very top public schools in the nation .",UOP,general,positive,98,101
67,CTU helped me land the job that I have right now as Help Desk Administrator .,CTU,general,positive,0,3
68,I have since then had cause to cancel my account and contact a lawyer for help getting out of the trouble E*Trade got me into .,E*Trade,general,negative,106,113
69,"I think the school probably is a good one , but they need to come up with a different way to admit people .",school,general,positive,12,18
70,Charts are slow to load and until recently they had no TA charts .,Charts,general,negative,0,6
71,"Overall , I would not recommend the UoP for anyone at this time , unless the program and way it is managed changes .",way,general,negative,89,92
72,The technician even helped me walk thru the application to make sure I did not have any more technical issues .,technician,general,positive,4,14
73,E*TRADE offers discount programs and trading options for frequent traders-something other brokerages do not have .,E*TRADE,general,positive,0,7
74,The students get the opportunity to be good at public speaking .,students,general,positive,4,12
75,"Consisting of over 140 members , eCircles.com allows our Honor Society to send out last minute announcements and all other events with more convenience .",eCircles.com,general,positive,33,45
76,"The education system is top range BUT administration , IT and finance are quite messy though .",finance,general,negative,62,69
77,"Real-time quotes are quick , although the web-site is not .",web-site,general,negative,42,50
78,I found groups that were perfect for me and have made some friends in the process .,groups,general,positive,8,14
79,I can't recommend e-groups highly enough .,e-groups,general,negative,18,26
80,I like nothing about Devry actually .,Devry,general,negative,21,26
81,"EGROUPS , now known as ONELIST , is both fun and informative for me .",EGROUPS,general,positive,0,7
82,"A secured computer that can process your transactions pretty quickly , from my experience .",secured computer,general,positive,2,18
83,Instructors are serious about helping with questions .,Instructors,general,positive,0,11
84,Probably my favorite thing about eGroups even though I don't use it is the family filter .,family filter,general,positive,75,88
85,eGroups ( now Yahoogroups ) is a necessary evil .,Yahoogroups,general,negative,14,25
86,Transferring from ODU to University of Phoenix Online was the best thing I have ever done .,University,general,positive,25,35
87,"So E-Trade not only get a poor rating for customer service , they also seem to be looking for any way to skim a pick the pockets of its customers .",E-Trade,general,negative,3,10
88,It runs fairly smooth most of the time with little down time .,down time,general,positive,51,60
89,"The system itself runs a bit slower than most web sites , but most people don't understand that that's because of the encryption .",system,general,negative,4,10
