id,text,aspect,category,polarity,from,to
0,"I have a narrow ( AA ) foot , so I was delighted that these sandals came in a narrow width .",sandals,Shoes#General,positive,60,67
1,"It would still fit me if I gained 15 lb or lost 10 lb , because it is stretchy .",implicit,Bottom#Quality,positive,-1,-1
2,Too bad it made with not leather .,implicit,Shoes#Quality,negative,-1,-1
3,Having the soles of the feet exposed is good for my exercise classes .,soles,Shoes#General,positive,11,16
4,Nice character shoe .,shoe,Shoes#pair,positive,15,19
5,"Too fancy , they went back",they,Clothing#Looking,negative,12,16
6,excellent buy for the price .,price,Clothing#Prices,positive,22,27
7,Will buy more !,implicit,Clothing#General,positive,-1,-1
8,"These tights allow me to wear a nice skirt in the winter without freezing.The tight is remarkably comfortable and soft , not itchy .",tights,Bottom#Quality,positive,6,12
9,I used to wear Mimosa 's all the time .,Mimosa,Shoes#General,positive,15,21
10,Love the shimmery look of these tights .,tights,Clothing#General,positive,32,38
11,"I 'm attaching a photo of the size chart from the packaging , since the generic Amazon size info is not accurate for these.The fabric is also thicker than I expected , almost opaque and not very stretchy .",fabric,Clothing#Looking,negative,127,133
12,"The quality of the shoe looked well made , and had I not needed it for a certin event I would of exchanged rather than returned .",quality,Shoes#Quality,positive,4,11
13,I really like these .,implicit,Clothing#General,positive,-1,-1
14,Feels nice,implicit,Clothing#Quality,positive,-1,-1
15,Nice and dressy .,implicit,Clothing#General,positive,-1,-1
16,"These , however , ripped on the front thigh/ leg during the first dance !",implicit,Clothing#Quality,negative,-1,-1
17,Good value .,implicit,Bottom#General,positive,-1,-1
18,Never true to size .,size,Shoes#Size,negative,14,18
19,Ships FAST !,Ships,Service#General,positive,0,5
20,"They may not be the fanciest pair of shoes I could have purchased , but they look nice enough and for the price they are a perfect choice for someone just starting out in the world of ballroom dancing .",price,Shoes#Prices,positive,106,111
21,But works great and very durable .,implicit,Clothing#General,positive,-1,-1
22,I am happy with this purchase,purchase,Clothing#General,positive,21,29
23,Too bad the footpad is n't microfiber or something like that .,footpad,Shoes#Quality,negative,12,19
24,Very happy with them .,them,Shoes#General,positive,16,20
25,This shoe fits well and is quite comfortable purchased 2 pair and am quite satisfied and will purchase this brand again in the future .,brand,Shoes#Brand,positive,108,113
26,"Well , it was more like a narrow width even though the package said W. The strap at the back of the shoe is NOT adjustable and it was about 1 inch too long .",implicit,Shoes#Size,negative,-1,-1
27,They are very comfortable with the exception of the strap at the heel .,strap,Shoes#Quality,positive,52,57
28,GAVE ME A BLISTER UNDER MY BIG TOE .,implicit,Shoes#Size,negative,-1,-1
29,These did not fit me at all .,implicit,Shoes#Size,negative,-1,-1
30,I love mine and have bought several pairs over the years .,mine,Shoes#General,positive,7,11
31,"Fast shipping , very comfortable shoes .",shoes,Shoes#Quality,positive,33,38
32,"The product arrived as specified and shipped within the agreed time.I always order 1 size more , so it fit as expected .",product,Service#General,positive,4,11
33,They also are quite warm too .,They,Bottom#Quality,positive,0,4
34,I did not like this at all ... fit was too large and it 's too old ladyish for me ... sorry but had to return it ...,implicit,Shoes#Size,negative,-1,-1
35,I was thrilled to see LifeStyle continue this style from last year .,style,Shoes#pair,positive,26,31
36,Would definitely buy these again .,implicit,Clothing#General,positive,-1,-1
37,Great price & Great value !,price,Clothing#Prices,positive,6,11
38,"I gave them to my super-petite daughter , and she loves them .",them,Bottom#General,positive,7,11
