id,text,aspect,category,polarity,from,to
0,Any news ? AlgalBloom WaterPollution,water pollution,water,negative,-1,-1
1,Collecting sediment samples in Solent Maritime SAC with the Samples will be analysed to help assess the condition of the SAC and inform water quality data,sediment samples,water quality,neutral,11,27
2,I'm in Cornwall for WorldOceansDay I've been finding out all about how works with the community here and talking about the PlasticChallenge for,PlasticChallenge,event,neutral,123,139
3,"Great multiagency working around Wakefield today Members of the VBS, and targeting illegal close season fishing under Operation Clampdown 1 angler under investigation by the police for theft act matters but everyone else legal",river,water,positive,-1,-1
4,"This is what a consider to be completed work and no further action required! environment the stench, pollution is appalling! <U+0001F621>",pollution,water,negative,101,110
5,"Heavy showers and thunderstorms are forecast for today and tomorrow. This could lead to some localised surface water and river flooding, our teams are out around the clock operating flood defences and clearing blockages. Check your flood risk here:",flooding,water,neutral,127,135
6,We had a great time working on our banner with last Friday. Check it out at their fun day 2-4pm this Saturday! floodaware floodrisk keepourriversclean,implicit,implicit,positive,-1,-1
7,ICYMI: StAlbans’ River Ver revitalisation project “will make problems worse”,River Ver,water,neutral,17,26
8,We've helped with some successful beach cleans this week with Here's some of our staff at Arnside Cumbria southlakes binitforbeaches worldoceansday In total half a tonne of rubbish was collected over ten beaches in the NorthWest!,marine environment,environment,positive,-1,-1
9,"The Sampling and Collection teams have special equipment used for sampling the water quality in our rivers, measurements of oxygen, temperature and pH taken on site and further analysis done in our laboratory.",pollution,water,neutral,-1,-1
10,The whale is so cool - but unfortunately won’t be in Bude this World Oceans Day. I believe was referring to the coastal survey vessel that will be working just offshore from our event to help showcase the work the do to make a greaterplace in the sea!,ocean,water,positive,69,74
11,The water quality monitors for the Lea aren't showing low dissolved oxygen levels at the moment. It dropped to about 15% a couple of days ago at Lea Bridge Weir. But if the pollution is south of the sensors they won't detect any drop in oxygen.,water quality,water,negative,4,17
12,Huge thanks to colleagues who've been volunteering with and as part of WorldOceansDay to carry out beach cleans across the North West,beach,water,positive,99,104
13,Lovely day in Bude for WorldOceansDay WOD2018,plastic usage,pollution,neutral,-1,-1
14,"Our bridges were unveiled on Friday at Rossall, Larkholme Grasslands as part of another world class sea defence scheme along with exciting new ecology parks for local wildlife. broadbentstudio stephenbroadbent …",coastal waters,water,neutral,-1,-1
15,It's a lovely day to celebrate WorldOceansDay at Southend! Here's a brilliant sculpture of a moorhen by the artist Ptolemy Elrington. It's made of waste and shows the amount of plastic bags found in moorhens nests in the water. Let's play our part and binit4beaches! summer,water,pollution,negative,221,226
16,Great to be part of opbasingstoke yesterday ad part of specialsweekend18 VolunteersWeek working with to enforce and educate drivers yesterday. Thanks to and for supporting. More results to follow.,river,water,positive,125,130
17,Kashmiris collect waste from Babdemb lake as a cleanliness initiative on World Environment Day in Srinagar. Photo and Caption - worldenvironmentday,lake,water,negative,37,41
18,Working together to protect people and wildlife with EnvironmentalIncidentsWeek incidents fire flooding pollution ProtectorsOfPeople<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F466><U+0001F469><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F466><U+0001F468><U+200D><U+0001F468><U+200D><U+0001F467><U+200D><U+0001F466>GuardiansOfTheEnvironment<U+0001F49A><U+0001F30D>,pollution,environment,negative,104,113
19,"Hi Rachael thank you for posting a photo from today, do you have any more of the beach clean or of anyone being interviewed? Thanks, Emma",beach,environment,positive,81,86
20,Back filming freshwater Eels. New video is looking good. River wharfe. endangered,flood warning,water,positive,-1,-1
21,Further AMR research from on abundance and diversity of antimicrobial resistance in coastal waters -,pollution,water,neutral,-1,-1
22,We're at Saxmundham Primary School Summer Fete talking all things YellowFish with and ! Pop along for some fun and learn about your local river!,fish,water,neutral,72,76
23,TeamEA out on their monthly lunchtime litterpick along on the Tyne yesterday ahead of WorldOceansDay. Less litter in the river = less plastic in the sea!,plastic,water,neutral,134,141
24,Hi . Any idea when the pump out machines at Shiplake Lock and Maple Durham Lock are going to be fixed? They've been out for quite a few weeks now.,beach,water,neutral,-1,-1
25,5. The water was 2-3 feet high in the road and 1-2 feet inside houses. Why does and think this is adequate support to their residents and council tax payers? flood we're hopeless,water,flood,neutral,7,12
26,Ok we cover the entire Great Ouse from Brackley to the Wash and and all the rivers which feed into it as well as a large portion of the Fen drains. Let us know which areas and species your interested in and we’ll have a think for possible venues.,river,water,positive,76,81
27,"Over 1 million seabirds and 100,000 sea mammals are killed by pollution every year. Let us stop this. For more on Environmental Toxicology and Pharmacology, visit EnviPharm2018 USA",pollution,water,negative,62,71
28,It’s WorldOceanDay - in Bude to support baby 2 and her gang for - thanks for an informative and inspired event! Let’s all pledge to make one change and turn the tide of SingleUsePlastics ..,plastic pollution,pollution,neutral,-1,-1
29,"B31ReaderReports discolouration of water in River Rea • If you notice this, it has been reported to the Environment Agency who will be checking it out <U+0001F44D><U+0001F3FB> READ: Northfield",water,pollution,neutral,35,40
30,"Oh, I don't know, Claire! First, we tweet about Bude; now Bristol - might think we're moving in on their patch... but we're all one team, and that team is TeamEA! Ramsgate to Redruth! WorldOceansDay",beach,water,neutral,-1,-1
31,Our oceans need YOU! Let's beatplasticpollution when 's 30-day PlasticPlanetChallenge for kids launches on WorldEnvironmentDay2018. We're telling the world through Thunderclap. Please support our campaign:,oceans,ocean,negative,4,10
32,The typical contents of a Whitley Bay Beach Clean bag.,beach clean,event,positive,38,49
33,The full EnvironmentalAgency report can be read here: saveourrivers saveourplanet,river,environment,neutral,61,66
34,Invertebrates - tiny but very important. We can use them to track pollution and measure how much damage has been done to a river or stream. It's environmentalincidentsweek evidenceled EAlaboratory,river,water,negative,123,128
35,We all like BIG pumps and pipes..... in have been out and about on the Somerset Levels and Moors visiting ‘Peach’ which has been decommissioned with a new pump array now moving an impressive 10 cubic metres per sec of water off Northmoor to the RiverParrett,pumps and pipes,infrastructure,neutral,16,31
36,"But what about air pollution? Surely that's more of a risk now... It's killing people prematurely by many 1000's per year, worse in warm weather. What is the EA doing about all those companies that are continuing 2 pollute the air we all breathe? Why is that not top of EA agenda?",pollution,environment,negative,19,28
37,Seriously would love to do some filming underwater around that area,underwater,environment,neutral,40,50
38,"Definitely a (tasty) pest in most rivers now and some areas are heavily infested. Yes, need permission and the right kind of trap (not to trap watervoles otters etc.) but worth the effort!",river,water,neutral,34,39
39,You should never drive through flood water. Don't even putt.,flood water,water,neutral,31,42
40,On every beach all around the world,plastic pollution,pollution,neutral,-1,-1
41,Beautiful waterside! <U+0001F60A><U+0001F499>,waterside,water,positive,10,19
42,Which water companies in the uk flush the sewage straight out to sea without processing it first?,sewage,water,neutral,42,48
43,The GW4 Water Security Alliance forum will bring together: <U+0001F52C> The largest consortium of water researchers in the UK <U+0001F465> Stakeholders including and <U+0001F30D> Panels on protecting ecosystems and change and uncertainty,water,resource,neutral,8,13
44,Water-Gates would make a great addition to Fire Service EPUs. haven’t got any at present teamea,water,water,positive,0,5
45,Doing a water related MSc in 2018-19? Apply for a bursary now! The MSc Studentship Award will help towards tuition fees on UK HEI hydrology water catchmentmanagement MSc programmes. Deadline 16th July. More info:,MSc programmes,education,negative,166,180
46,"The UK is now monitoring beaches for plastic. That’s really important. But let’s ensure they don’t find much by refusing, reducing, reusing and recycling plastic ...",beaches,beach,neutral,25,32
47,"Help keen our oceans plastic free this WorldOceansDay. To protect the environment don’t use your sink, drain or toilet as a rubbish bin. During the last Great British Beach Clean 8.5% of items found had been incorrectly flushed. Please binit4beaches",ocean,water,positive,14,19
48,We all absolutely can and teams from and will be with volunteers doing more beachcleans at Saltburn and WhitleyBay this Friday! BeatPlasticPolution WorldOceansDay,beach,water,positive,76,81
49,"How can and sit through this? I'm sure they're not. Drilling at Balcombe is now very close to older, already perforated drill holes, penetrating geological faults and risking contaminating water supplies for 65,000 Sussex homes",waters,water,neutral,-1,-1
50,TeamEA are at beautiful West Kirby Wirral today as part of WorldOceansDay. We are getting ready to Binitforthebeach by picking and clearing litter to help reduce the impact of plasticwaste. lovemybeach plastic <U+2066><U+2069>,river,water,negative,-1,-1
