id,text,aspect,category,polarity,from,to
0,The only thing that my friend left out is that when we sat down at the bar the bartender disappeared.,bartender,general,negative,79,88
1,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,general,positive,23,41
2,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",manager,general,negative,46,53
3,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",serving,general,neutral,53,60
4,"My turkey burger was not cooked at all, my friends salmon was completely raw.",turkey burger,general,negative,3,16
5,I would only go for the coffee which is way better than Starbucks or the like.,coffee,general,positive,24,30
6,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,dinner meeting,general,neutral,82,96
7,Most of the sandwiches are made with soy mayonaise which is actually pretty good.,sandwiches,general,positive,12,22
8,"There was a really nice vibe about the place...good music, atmosphere and happy looking people.",vibe,general,positive,24,28
9,") It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits.",prices,general,positive,104,110
10,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,general,positive,124,129
11,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,olive cream cheese,general,positive,8,26
12,The server was really cool and served us our food and drinks with a smile.,served,general,positive,31,37
13,My friend had a burger and I had these wonderful blueberry pancakes.,blueberry pancakes,general,positive,49,67
14,The sushi is cut in blocks bigger than my cell phone.,sushi,general,negative,4,9
15,from an English speaking staff.,staff,general,neutral,25,30
16,"The place has a nice fit-out, some attractive furnishings and, from what I could tell, a reasonable wine list (I was given the food menu when I asked for the carte des vins)",furnishings,general,positive,46,57
17,Great survice,survice,general,positive,6,13
18,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,general,positive,175,187
19,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",wine list,general,positive,118,127
20,"The view is spectacular, and the food is great.",food,general,positive,33,37
21,"My Chelsea's impressive and creative menu includes modern, Westernized Japanese dishes such as Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, black cod with miso base, and rack of lamb in black truffle sauce, to name a few.",spicy cod roe spaghetti,general,neutral,148,171
22,Service is top notch.,Service,general,positive,0,7
23,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,mushrooms,general,positive,65,74
24,There's candlelight and music.,music,general,neutral,24,29
25,"Bukhara Grill, the tagline says it all.. ""INDIAN SPICE RAVE""",Bukhara Grill,general,positive,0,13
26,"Normally that would be improper, however they were all delicious and my host did not complain.",host,general,neutral,72,76
