id,text,aspect,category,polarity,from,to
0,"also , the display is "" hinged "" and it can be placed in a myriad of positions , or to protect it against any damage .",display,general,positive,11,18
1,my only significant complaint is sound quality .,sound quality,general,negative,33,46
2,"the battery life seems good , takes very lttle time to charge , it uploads mp3s quickly and there is no delay between songs .",charge,general,positive,55,61
3,apex ad-2600 runs all the dvd media including dvd + r/rw and dvd-r / rw ( unlike sony or panasonic - one supports only + r/rw and another supports - r/rw ) .,runs,general,positive,13,17
4,"i chose this one because from what i read , it was the best deal for the money .",deal,general,positive,60,64
5,"after hooking the thing up , i found that it would only played less than 50 % of the dvds i put in it .",dvds,general,negative,85,89
6,"i must have differing preferences than others here , as i prefer the supplied earbuds to the sony 's that i thought sounded good on other players .",earbuds,general,positive,78,85
7,"if you do n't have tags , it 'll lump all of your tracks into the same directory and they cannot be searched via artist or album as the zen does not recognize folders .",tags,general,negative,19,23
8,"i 've had this player for several months and it reads most discs , but it would not recognize several discs that were clean and read on other players ( from friends season 2 ) .",recognize,general,negative,84,93
9,one of the dvd 's i received as a christmas present kept freezing .,dvd,general,negative,11,14
10,7 ) some people have problems with the flip switch on the bottom that releases the player cover - has not been an issue for me and is immaterial if you use the case as the case covers the switch .,flip switch,general,positive,39,50
11,"this is a nice feature ( i.e. it 's early in the morning and you rather listen to "" easy listening "" rather than "" heavy metal "" - no problem .",feature,general,positive,15,22
12,the size is small ( just a little bit bigger than an i-pod . ),size,general,positive,4,8
13,. this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped .,auto mode,general,negative,40,49
14,"the player has firmware , which will remove the glitches , if there are any .",firmware,general,positive,15,23
15,"i loved this product when i first got it - great sound , easy to use ( even though i agree that the software was n't the best ) and held enough songs to suit any mood .",sound,general,positive,49,54
16,it has all the features one would need in a cellphone .,features,general,positive,15,23
17,"the sound is awesome , but if u put it too loud , depends on yoursound quality , the sound might crack .",sound,general,positive,4,9
18,"transfering is easy , the software makes everythig pretty easy .",transfering,general,positive,0,11
19,i would have liked to have given it 4 1/2 stars docking that 1/2 star only for the size .,size,general,negative,83,87
20,"the software , mediasource , cannot work on my pc . ( laptop , intel p4-2.0 , xp os ) .",software,general,negative,4,12
21,"the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , saved me hours of re-entering my numbers .",infrared,general,positive,4,12
22,"the reason i rated it a four is because of that darn diopter adjustment dial . its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . )",turn,general,negative,106,110
23,the player is intuitive and outputs great sound quality .,player,general,positive,4,10
24,"the 6610 excels as a cell phone , thank god .",cell phone,general,positive,21,31
25,"- the replacable battery is great since once it eventually wears out ( as all lithium batteries do ) , you will be able to buy another easily .",battery,general,positive,17,24
26,"the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash .",built-in flash,general,negative,173,187
27,"weaknesses are minor : the feel and layout of the remote control are only so-so ; it does n't show the complete filenames of mp3s with really long names ; you must cycle through every zoom setting ( 2x , 3x , 4x , 1/2x , etc. ) before getting back to normal size [ sorry if i 'm just ignorant of a way to get back to 1x quickly ] .",remote control,general,negative,50,64
