id,text,aspect,category,polarity,from,to
0,But the staff was so horrible to us.,staff,restaurant,negative,8,13
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,restaurant,positive,57,61
2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,restaurant,positive,4,8
3,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,restaurant,positive,55,62
4,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,restaurant,neutral,141,145
5,"Not only was the food outstanding, but the little 'perks' were great.",food,restaurant,positive,17,21
6,"Not only was the food outstanding, but the little 'perks' were great.",perks,restaurant,positive,51,56
7,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,restaurant,positive,27,62
8,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,restaurant,positive,76,83
9,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,restaurant,neutral,152,157
10,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,restaurant,neutral,113,117
11,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",bagels,restaurant,positive,4,10
12,Nevertheless the food itself is pretty good.,food,restaurant,positive,17,21
13,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,restaurant,negative,41,46
14,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,restaurant,negative,18,28
15,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,restaurant,negative,126,131
16,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,restaurant,neutral,73,79
17,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,restaurant,negative,57,68
18,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,restaurant,neutral,170,175
19,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,restaurant,neutral,86,92
20,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,restaurant,neutral,82,88
21,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,restaurant,neutral,32,37
22,The design and atmosphere is just as good.,design,restaurant,positive,4,10
23,The design and atmosphere is just as good.,atmosphere,restaurant,positive,15,25
24,He has visited Thailand and is quite expert on the cuisine.,cuisine,restaurant,positive,51,58
25,The pizza is the best if you like thin crusted pizza.,pizza,restaurant,positive,4,9
26,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,restaurant,neutral,34,52
27,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,restaurant,positive,28,47
28,"All the money went into the interior decoration, none of it went to the chefs.",chefs,restaurant,negative,72,77
29,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,restaurant,negative,4,9
30,"I asked for seltzer with lime, no ice.",seltzer with lime,restaurant,neutral,12,29
31,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,restaurant,positive,77,84
32,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,restaurant,positive,91,122
33,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,restaurant,neutral,74,80
34,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,restaurant,positive,20,36
35,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,restaurant,positive,24,28
36,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,restaurant,positive,34,39
37,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,restaurant,positive,62,69
38,Faan's got a great concept but a little rough on the delivery.,delivery,restaurant,negative,53,61
39,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,restaurant,positive,20,24
40,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,restaurant,positive,38,48
41,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,restaurant,positive,66,73
42,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,restaurant,positive,6,10
43,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,restaurant,positive,25,31
44,this little place has a cute interior decor and affordable city prices.,interior decor,restaurant,positive,29,43
45,this little place has a cute interior decor and affordable city prices.,prices,restaurant,positive,64,70
46,Two words: Free wine.,wine,restaurant,positive,16,20
47,The price is reasonable although the service is poor.,price,restaurant,positive,4,9
48,The price is reasonable although the service is poor.,service,restaurant,negative,37,44
49,"The quantity is also very good, you will come out satisfied.",quantity,restaurant,positive,4,12
50,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,restaurant,neutral,118,123
51,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,restaurant,neutral,146,155
52,The fried rice is amazing here.,fried rice,restaurant,positive,4,14
53,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,restaurant,positive,42,49
54,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,restaurant,positive,51,74
55,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,restaurant,positive,79,110
56,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,restaurant,positive,118,140
57,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,restaurant,neutral,6,13
58,it's a perfect place to have a amanzing indian food.,indian food,restaurant,positive,40,51
59,The place is so cool and the service is prompt and curtious.,service,restaurant,positive,29,36
60,The place is so cool and the service is prompt and curtious.,place,restaurant,positive,4,9
61,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,restaurant,positive,35,53
62,I just wonder how you can have such a delicious meal for such little money.,meal,restaurant,positive,48,52
63,I just wonder how you can have such a delicious meal for such little money.,money,restaurant,positive,69,74
64,The food was delicious but do not come here on a empty stomach.,food,restaurant,neutral,4,8
65,The wine list is excellent.,wine list,restaurant,positive,4,13
66,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",thai food,restaurant,positive,84,93
67,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,restaurant,neutral,35,48
68,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,restaurant,neutral,75,83
69,This is a consistently great place to dine for lunch or dinner.,lunch,restaurant,neutral,47,52
70,This is a consistently great place to dine for lunch or dinner.,dinner,restaurant,neutral,56,62
71,This is a consistently great place to dine for lunch or dinner.,dine,restaurant,positive,38,42
72,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,restaurant,positive,5,15
73,"Nice atmosphere, the service was very pleasant and the desert was good.",service,restaurant,positive,21,28
74,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,restaurant,positive,55,61
75,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,restaurant,positive,39,42
76,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,restaurant,neutral,60,65
77,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,restaurant,neutral,74,80
78,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,restaurant,positive,9,16
79,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,restaurant,positive,28,32
80,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,restaurant,positive,52,62
81,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,restaurant,positive,67,78
82,Try the lasagnette appetizer.,lasagnette appetizer,restaurant,positive,8,28
83,I liked the beer selection!,beer selection,restaurant,positive,12,26
84,"Great food, good size menu, great service and an unpretensious setting.",food,restaurant,positive,6,10
85,"Great food, good size menu, great service and an unpretensious setting.",menu,restaurant,positive,22,26
86,"Great food, good size menu, great service and an unpretensious setting.",service,restaurant,positive,34,41
87,"Great food, good size menu, great service and an unpretensious setting.",setting,restaurant,positive,63,70
88,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,restaurant,positive,23,29
89,Go here for a romantic dinner but not for an all out wow dining experience.,dining,restaurant,positive,57,63
90,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,dosa,restaurant,neutral,17,21
91,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine list selection,restaurant,positive,0,19
92,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,restaurant,positive,32,49
93,"With the great variety on the menu , I eat here often and never get bored .",menu,restaurant,positive,30,34
94,The menu is very limited - i think we counted 4 or 5 entrees.,menu,restaurant,negative,4,8
95,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,restaurant,negative,53,60
96,The menu is limited but almost all of the dishes are excellent.,menu,restaurant,negative,4,8
97,The menu is limited but almost all of the dishes are excellent.,dishes,restaurant,positive,42,48
98,Not too crazy about their sake martini.,sake martini,restaurant,negative,26,38
99,"Great bagels, spreads and a good place to hang out in.",bagels,restaurant,positive,6,12
100,"Great bagels, spreads and a good place to hang out in.",spreads,restaurant,positive,14,21
