id,text,aspect,category,polarity,from,to
0,the first thing that attracts attention is the warm reception and the smiling receptionists. excellent service where the staff make sure that you got your request and keep you comfortable. very nice swimming pool and a gym that suits a 5-star hotel.,reception,hotel,positive,52,61
1,customer service was good and they were coming to the customer with a warm welcome. they were helpful when i wanted to see the place around me. overall the experience was great.,service,hotel,positive,9,16
2,disappointing hotel not worth the rating of 4 stars.... reception is weak.... housekeeping is very bad.... furniture is kind of old..... hotel restaurant is bad..... double wi-fi in the upper floors..... the only advantage is that the hotel is close to anshul amusement park.....,furniture,hotel,negative,107,116
3,decor and finishing rooms are very bad.,rooms,hotel,negative,20,25
4,"* air conditioning does not work but does not need * restaurant medium * there is no cte d'ivoire (cabinet), a defect i consider more serious than the absence of an elevator and the worker is forced to carry bags on the ladder",restaurant,hotel,neutral,53,63
5,sleazy rooms - bad rooms: the rooms were spacious but the furniture looked sleazy and the room lighting was also inadequate. bad.,rooms,hotel,negative,7,12
6,every hotel entrance smells of smoke and moisture and i felt nauseous while i was there as the rooms were cold.,rooms,hotel,negative,95,100
7,"but as everyone noticed, workers need to speak a second language, especially those who work at receptions. i'm done talking there :) because it's not at all easy to try to communicate with them, even if you ask about tourist matters, they have little information to give.",reception,hotel,negative,95,104
8,"the shampoo that you meet in the room is the one that you walk around and it's there and the bathroom that's in and the buffet needs to be wiped and the soap and the dishes and the cups are wet, but you don't wash and you don't supply the workers.",bathroom,hotel,negative,93,101
9,there is also not enough parking.,parking,hotel,negative,25,32
10,"the service is terrible, the service is unbearable, the food is bad, and the room service is not enough, either you interfere with something, but it cleans the family and wipes the floor.",service,hotel,negative,4,11
11,"rooms the room is suitable for space but it is simple and lacks the african character except for the paintings only in the room, as well as the upper floors only after the fifth floor is the one that has a good view of the surrounding areas,",room,hotel,neutral,0,4
12,very nice hotel with a good view of the baron's palace (if you're lucky to have a room overlooking it),hotel,hotel,positive,10,15
13,the bus station is very far away. the hotel is located near the highway. for business trips it is fine but not for entertainment.,hotel,hotel,positive,38,43
14,very special hotel very great hotel and distinctive in everything with its services and facilities and i recommend to try the villas are charming and a clean and quiet beach and appreciate you take your rest in the morning hours,beach,hotel,positive,168,173
15,"the location is excellent, the location of the apartments is excellent and the building is five floors of the apartments on the fifth floor. underground station is adjacent to the apartments only one street teams. all services are available in the area and very convenient.",location,hotel,positive,4,12
16,this is the third trip to mecca within al-bayt hotels and the best service and best value for other hotels.,service,hotel,positive,67,74
17,"and excellent location and close to the holy mosque of mecca, there are no problems in boarding and hostels to go to the sanctuary for many elevators.",location,hotel,positive,14,22
18,"and the beach can't swim, and the smell of fuel is everywhere, but it's perfect for diving enthusiasts, and the animation team was excellent, and those are the bad notes.",team,hotel,positive,122,126
19,buffet breakfast five stars and good food.,food,hotel,positive,37,41
20,nice hotel.,hotel,hotel,positive,5,10
21,"i always go and the family there is an excellent service, especially the internet is everywhere and this is what was comfortable for me to follow my work by monitoring work emails and i am with my family",service,hotel,positive,49,56
22,"... we will return peace to you, a very clean and quiet hotel, a well-distributed room, a young staff working hard. we had really fun times there. note that it must be mentioned breakfast medium and must be improved further, the very small gym has only 3 devices for running where i happened to be embarrassed with a french tourist where i had to stop to run to give him the opportunity to train. except that hotel is great and i will return to him every time.",hotel,hotel,positive,56,61
23,"the resort is beautiful and spacious, the rooms are wonderful and comfortable, the pool is suitable for all ages, the restaurants are clean, the food is good to a large extent and the activities are entertaining. the best thing about the hotel is the team of animation. it is great how friendly and light the shade, especially chico, kimo, ismail and masha, and also the creative buffet crew, especially chef macarons and mr. mohammed al tayeb, they made me wish to return to the hotel again.",restaurant,hotel,positive,118,128
24,"a quiet resort a very quiet, clean and safe resort, god willing, it is a beautiful place for the conservative family and there is no noise or anything.. the hotel is two floors and small and reception is good and service is fast and friendly and parking is available very much and they have a clean beach with some water games you can rent it as a jet ski clock of 1637321632; real and small boat manual of 163732; real and ship of 16371632.",reception,hotel,neutral,191,200
25,because the hotel level is one star they do not clean the room during your stay. you should also order new toilet paper wipes if you want to have them.,room,hotel,negative,58,62
26,i will never go to it again the hotel is not clean and vibrates at night from loud music... the food is very bad. i do not recommend getting off at this hotel especially since its location is far from the city center!!! you will have to order a taxi and its driver will definitely blackmail you,food,hotel,negative,96,100
27,"a bad hotel, a bad air-conditioned hotel that makes a bad sound, smells bad, smuggles water from the air-conditioning and the water cycle, the tap moves to install it in a silicone with a disgusting view.",hotel,hotel,negative,6,11
28,i traveled there from 13-9-2013 to 16-9-2013 and unfortunately i did not enjoy due to the very bad treatment of the egyptian children who do not deal with respect only with the foreign visitor and the reason is known of course,treatment,hotel,negative,99,108
29,"a happy stay in the hotel is a permanent customer, and a great homestay as if you were in your home, as i hope that the excellent service and the appropriate prices will last,",prices,hotel,neutral,158,164
30,the bathroom was also bad and the bathtub was disgusting.,bathroom,hotel,negative,4,12
31,i loved the pools there. the pools were clean and uncrowded.,pool,hotel,positive,12,16
32,"very nice hotel, honestly i am the first time down cairo and in all honesty the hotel is very beautiful",hotel,hotel,positive,10,15
33,"a respectable hotel in an excellent location located in the center of the city and famous places. affordable prices, basic facilities. the rooftop swimming pool serves as a treat.",location,hotel,positive,36,44
34,a very nice place! a very good hotel with beautiful and new rooms. great staff and friendly.,place,hotel,positive,12,17
35,"the hotel is very suitable for a quiet vacation away from the hustle and bustle of the city, the level of eating is excellent and the hotel staff is very kind and generous.",hotel,hotel,positive,4,9
36,the service is poor and the bathroom has not been cleaned for three nights and you should also order toilet paper. it is in total no more than a three-star hotel,service,hotel,negative,4,11
37,the staff services are very helpful and quick. and they respond very quickly.,staff,hotel,positive,4,9
38,"the best hotel in najran has the best receptionist in saudi arabia, nice staff, a nice hotel and a clean swimming pool.",pool,hotel,positive,114,118
39,"good hotel. very close to haram well, very comfortable accommodation in diyar royal! very close to haram.",accommodation,hotel,neutral,55,68
40,the food is grotesque and the pool is small.,pool,hotel,negative,30,34
41,a very nice place! a very good hotel with beautiful and new rooms. great staff and friendly.,rooms,hotel,positive,60,65
42,very stylish hotel and excellent location i stayed for two months in this hotel.,location,hotel,positive,33,41
43,"the hotel in mecca does not reflect the reputation and name at all, as the lower positions and the number of people in the reception and the method of check-in and check-out is very difficult",hotel,hotel,negative,4,9
44,but the view is normal. the rooms are well taken care of.,room,hotel,neutral,28,32
45,the resort is very clean and the service is above excellent and the reception has been a lot of attention.,reception,hotel,positive,68,77
46,"for the loyalty, love and appreciation of all the staff at the intercontinental hotel amman - jordan i extend my sincere thanks and love to this distinguished team for the good treatment and wish everyone all the happiness and good luck for their keenness to make us happy throughout our stay in the hotel,",hotel,hotel,positive,80,85
47,a beautiful place of value the jewel hotel is not located directly on the beach but a few meters to the side of the sea.,hotel,hotel,positive,37,42
48,the hotel is comfortable and its staff are cooperative with customers and the service is excellent and this indicates successful and successful management.,hotel,hotel,positive,4,9
49,"service, cleanliness and high-end treatment",cleanliness,hotel,positive,9,20
50,"we enjoyed a great stay at the port said hotel - egypt for tourism, the location is great and the hotel is 5 stars and has the character of luxury that there is no match or competitor in port said",hotel,hotel,positive,41,46
51,"and the food is very, very bad, and the service is garbage, and the loss of the money is impossible, i repeat the visit and do not recommend anyone to get down in this very bad place.",food,hotel,negative,8,12
52,hotel and chalets on the beaches of el kantaoui sousse tunisia from the beautiful places that make you enjoy the tranquility and comfort in the embrace of the sea and its wonderful breeze and provides you with multiple options in the quality of accommodation you desire and there is a great restaurant characterized by the provision of various foods as well as proximity to the golf course in addition to shopping centers,food,hotel,positive,344,348
53,there are excellent services as it is the only hotel that has elevators on the beach and excellent service and my attention the pillows in the rooms are very comfortable,elevator,hotel,positive,62,70
54,a very good hotel from the best hotels in sharm el sheikh and has an excellent group of staff such as chef attia and reception eid and sameh,hotel,hotel,positive,12,17
55,the hotel is not worth more than two stars. it's very old.,hotel,hotel,negative,4,9
56,five stars is never worth a hotel in need of cleanliness and i'm afraid to write that it's dirty and all dirt and reception is very bad so that children and the elderly remain waiting 3 hours until the rooms are cleaned before check-in and do not care or take into account the presence of infants and images published by the hotel is deceptive,hotel,hotel,negative,28,33
57,the new room was flushed and the sink was blocked. we had a leper in the room (and a friend's room nearby) and we couldn't get him out.,room,hotel,positive,8,12
58,"nice hotel and team animation one family service in the hotel is reasonable, and the full number of rooms in the period of the best needs that exist here, the team called animation and in two young people named karim and assam of the team that they work more than shaw hill, whether on the swimming pool or at night in sufficient show animation contributed to the fact that people in a hotel all know each other and feel that it is a family unit",rooms,hotel,neutral,100,105
59,"the worst hotel, the worst hotel in egypt, i do not advise anyone to stay in it unfortunately i guessed it, but it is disgusting and the wind in the rooms stinks and the air conditioning nets from the hour they invented the air conditioning and the misfortune that the price of a real respectable hotel tani hotel disgusting beyond the limits.",rooms,hotel,negative,149,154
60,"a hotel that lacks the lowest degrees of tourism, it is a dirt address in its rooms and services and food even utensils where they serve food is not washed and leftovers of food and previous drinking,",service,hotel,negative,88,95
61,normal rooms from the 60s. very expensive rooms and exorbitant fees for the use of a computer - which should be free for guests.,rooms,hotel,negative,7,12
62,"beautiful hotel in fact i did not see the negatives of the smell of food can smell in the floors and slow in cleanliness, but the hotel is close to the sanctuary, while the gate 20-21 overlooking the main street dining is much better than mecca and its varieties better and more expensive free wi-fi 24 hours entrances to the hotel from different streets i would prefer to disembark again and no problem",hotel,hotel,positive,10,15
63,"hotel for visitors to the global village, dubailand and the chinese market, a good stay for seven hours after visiting the global village and flower garden.. where the room was a family of 3 beds and the space was small",hotel,hotel,neutral,0,5
64,excellent hotel in everything. the location is excellent from the women's entrance.,hotel,hotel,positive,10,15
65,"visit atlantis this hotel combines attractions, entertainment, premium restaurants and shopping",restaurant,hotel,positive,71,81
66,non-observance of a connected room and poor reception.,reception,hotel,negative,44,53
