id,text,aspect,category,polarity,from,to
0,I charge it at night and skip taking the cord with me because of the good battery life.,cord,electronics,neutral,41,45
1,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,electronics,positive,74,86
2,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,electronics,negative,27,41
3,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",electronics,negative,109,121
4,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,electronics,neutral,4,12
5,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,electronics,positive,14,21
6,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",gui,electronics,positive,36,39
7,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,electronics,positive,118,130
8,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,electronics,positive,143,146
9,Easy to start up and does not overheat as much as other laptops.,start up,electronics,positive,8,16
10,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,electronics,positive,46,54
11,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",ichat,electronics,positive,77,82
12,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",photobooth,electronics,positive,84,94
13,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,electronics,positive,96,107
14,Great laptop that offers many great features!,features,electronics,positive,36,44
15,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",gui,electronics,negative,88,91
16,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,electronics,negative,93,99
17,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,electronics,neutral,110,121
18,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,electronics,negative,130,146
19,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,electronics,neutral,87,94
20,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,electronics,positive,50,66
21,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,electronics,negative,108,112
22,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,electronics,positive,13,33
23,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,electronics,positive,44,57
24,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,electronics,neutral,73,87
25,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,electronics,neutral,115,121
26,I love the way the entire suite of software works together.,suite of software,electronics,positive,26,43
27,The speed is incredible and I am more than satisfied.,speed,electronics,positive,4,9
28,This laptop meets every expectation and Windows 7 is great!,windows 7,electronics,positive,40,49
29,I can barely use any usb devices because they will not stay connected properly.,usb devices,electronics,negative,21,32
30,"-No backlit keyboard, but not an issue for me.",keyboard,electronics,neutral,12,20
31,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,electronics,neutral,50,58
32,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,electronics,negative,111,117
33,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",microsoft office for the mac,electronics,negative,51,79
34,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,electronics,positive,67,74
35,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" hd monitor",electronics,positive,32,46
36,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,electronics,neutral,80,86
37,The machine is slow to boot up and occasionally crashes completely.,boot up,electronics,negative,23,30
38,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,electronics,negative,46,53
39,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,electronics,neutral,26,33
40,I love the operating system and the preloaded software.,operating system,electronics,positive,11,27
41,I love the operating system and the preloaded software.,preloaded software,electronics,positive,36,54
42,The best thing about this laptop is the price along with some of the newer features.,price,electronics,positive,40,45
43,The best thing about this laptop is the price along with some of the newer features.,features,electronics,positive,75,83
44,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in bios setup,electronics,negative,57,76
45,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,warranty service,electronics,negative,44,60
46,but now i have realized its a problem with this brand.,brand,electronics,negative,48,53
47,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,electronics,positive,59,67
48,I was looking for a mac which is portable and has all the features that I was looking for.,features,electronics,positive,58,66
49,Also kinda loud when the fan was running.,fan,electronics,negative,25,28
50,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",customer service number,electronics,neutral,31,54
51,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,electronics,negative,76,84
52,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,electronics,negative,137,160
53,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,electronics,negative,43,52
54,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,electronics,negative,70,77
55,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,electronics,neutral,122,129
56,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,drivers,electronics,positive,0,7
57,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,bios update,electronics,negative,27,38
58,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,electronics,negative,49,55
59,Spent 2 hours on phone with HP Technical Support.,hp technical support,electronics,neutral,28,48
60,"Speaking of the browser, it too has problems.",browser,electronics,negative,16,23
61,The keyboard is too slick.,keyboard,electronics,negative,4,12
62,Nightly my computer defrags itself and runs a virus scan.,virus scan,electronics,neutral,46,56
63,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,electronics,negative,10,17
64,It's just as fast with one program open as it is with sixteen open.,program,electronics,neutral,27,34
65,"Still under warrenty so called Toshiba, no help at all.",warrenty,electronics,negative,12,20
66,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,toshiba warranty,electronics,negative,120,136
67,Amazing Quality!,quality,electronics,positive,8,15
68,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,electronics,neutral,48,54
69,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,electronics,positive,71,76
70,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,electronics,neutral,27,35
71,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,electronics,neutral,41,64
72,"A month or so ago, the freaking motherboard just died.",motherboard,electronics,negative,32,43
73,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,electronics,negative,4,10
74,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,electronics,negative,30,37
75,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,electronics,negative,92,100
76,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,electronics,positive,62,72
77,It rarely works and when it does it's incredibly slow.,works,electronics,negative,10,15
78,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,windows 7,electronics,positive,66,75
79,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,vmware program,electronics,neutral,95,109
80,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,electronics,positive,44,60
81,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,electronics,positive,84,88
82,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,electronics,positive,23,31
83,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,electronics,positive,65,75
84,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,electronics,negative,64,72
85,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,electronics,neutral,25,42
86,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,electronics,neutral,16,22
87,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,electronics,positive,98,103
88,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,electronics,positive,75,85
89,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my documents folder,electronics,negative,92,119
90,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,electronics,negative,93,110
91,"Then, within 5 months, the charger crapped out on me.",charger,electronics,negative,27,34
92,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,electronics,positive,88,93
93,I love the glass touchpad.,glass touchpad,electronics,positive,11,25
94,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,electronics,negative,64,74
95,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,electronics,negative,79,91
96,I am using the external speaker- sound is good.,external speaker,electronics,positive,15,31
97,I am using the external speaker- sound is good.,sound,electronics,positive,33,38
98,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,electronics,negative,18,30
99,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,electronics,negative,37,45
100,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,electronics,negative,36,44
101,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",mac software,electronics,positive,30,42
102,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",microsoft software,electronics,negative,72,90
103,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,electronics,positive,25,28
104,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,electronics,negative,80,91
105,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,electronics,negative,32,39
106,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,electronics,positive,12,15
107,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,electronics,positive,28,35
108,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,electronics,positive,60,76
109,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,electronics,positive,99,109
110,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,electronics,positive,17,29
112,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,electronics,neutral,142,148
113,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,electronics,neutral,153,166
114,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,electronics,neutral,48,60
115,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,electronics,neutral,65,77
116,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,electronics,positive,29,43
117,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","office max's ""max assurance""",electronics,neutral,17,45
118,I eventually did the migration from my iMac backup disc which uses USB.,imac backup disc,electronics,neutral,39,55
119,I eventually did the migration from my iMac backup disc which uses USB.,usb,electronics,neutral,67,70
120,"The battery life seems to be very good, and have had no issues with it.",battery life,electronics,positive,4,16
121,Enabling the battery timer is useless.,battery timer,electronics,negative,13,26
122,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,temperatures,electronics,neutral,0,12
123,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,core processing unit temperatures,electronics,neutral,64,97
