id,text,aspect,category,polarity,from,to
0,"She will only accept. docx forms in microsoft 2007. But, surprise, mason doesn't use vista or microsoft 2007! They still use XP, and microsoft 2006. This professor is useless and unreasonable. TAKE ANOTHER PROFESSOR",this professor,education,negative,149,163
3,Great Teacher! Learned a lot! If coming to class isn't your thing take her. But if you do come to class she does know her stuff! Very accommodating and understanding. Good stuff. Highly recommended. Better than the rest!,teacher,education,positive,6,13
11,Not so easy class; great instructor!,class,education,negative,12,17
12,Not so easy class; great instructor!,instructor,education,positive,25,35
14,"Studied for the exam literally the day of... ended with a 90% lol. Not as interesting as I thought it would be tho. The textbook is dry, and the lectures put me to sleep. Overall a good mark booster, but not particularly useful.",textbook,education,negative,120,128
15,"Studied for the exam literally the day of... ended with a 90% lol. Not as interesting as I thought it would be tho. The textbook is dry, and the lectures put me to sleep. Overall a good mark booster, but not particularly useful.",lectures,education,negative,145,153
18,"The campus is very green, and a beautiful place to work. There are outstanding facilities in each department and a staff that are clearly striving for the best in every student.",campus,education,positive,4,10
20,"The campus is very green, and a beautiful place to work. There are outstanding facilities in each department and a staff that are clearly striving for the best in every student.",facilities,education,positive,79,89
21,"The campus is very green, and a beautiful place to work. There are outstanding facilities in each department and a staff that are clearly striving for the best in every student.",staff,education,positive,115,120
22,"I came into the course with no experience with policy. Although the lecture content was on the assignment topics, the information was easily accessible by google. I did not attend this class and still did well. The course structure( I took this with Michael Drescher) was a group essay work 70%. I do not think this is an accurate way to assess someone's knowledge.",lecture content,education,neutral,68,83
23,"I came into the course with no experience with policy. Although the lecture content was on the assignment topics, the information was easily accessible by google. I did not attend this class and still did well. The course structure( I took this with Michael Drescher) was a group essay work 70%. I do not think this is an accurate way to assess someone's knowledge.",course structure,education,negative,215,231
24,He was very rude and did not respect his students. I would not take any more of his courses.,his courses,education,negative,80,91
25,"Bad teaching, random, disorganized, hardly any explanation of concepts, confused. You'll learn almost nothing by taking this course. Not recommended!",teaching,education,negative,4,12
30,"Bad teaching, random, disorganized, hardly any explanation of concepts, confused. You'll learn almost nothing by taking this course. Not recommended!",this course,education,negative,120,131
32,"Useful, easy, but dry course.",course,education,positive,22,28
34,"Useful, easy, but dry course.",course,education,negative,22,28
36,"We had 6 group assignments( 4 if attendance rate was high) and 2 individual assignments, no midterms or finals. The course was taught using various case studies as examples. Pretty light and fun course.",course,education,positive,116,122
38,"Irene is very disrespectful and condescending to her students. It is very obvious that she does not like what she does- and it becomes obvious by her unwillingness to help her students. She is extremely demanding in how she wants things done, but does not like helping. Avoid her at all costs!",irene,education,negative,0,5
47,"Class is totally lecture based. Must be able to see the"" why?"" in all of history. Look through for a deeper understanding. Wants us to be historians, which I totally get. Assigns a term paper, with guidelines, but doesn't elaborate fully on every guideline in class. TOUGH grader. Say one thing in the clearest way, and he'll say it's unclear.",class,education,neutral,0,5
50,"Really easy course. Just follow the course notes. It literally tells you how to do everything you need to do. Assignments take a lot of time, so leave a few hours aside for them. Assignments get a little harder at the end. The midterm was fair, final were hard but curved.",course,education,positive,12,18
51,"Really easy course. Just follow the course notes. It literally tells you how to do everything you need to do. Assignments take a lot of time, so leave a few hours aside for them. Assignments get a little harder at the end. The midterm was fair, final were hard but curved.",course notes,education,positive,36,48
52,"Really easy course. Just follow the course notes. It literally tells you how to do everything you need to do. Assignments take a lot of time, so leave a few hours aside for them. Assignments get a little harder at the end. The midterm was fair, final were hard but curved.",assignments,education,negative,110,121
54,"Really easy course. Just follow the course notes. It literally tells you how to do everything you need to do. Assignments take a lot of time, so leave a few hours aside for them. Assignments get a little harder at the end. The midterm was fair, final were hard but curved.",midterm,education,positive,227,234
55,"Really easy course. Just follow the course notes. It literally tells you how to do everything you need to do. Assignments take a lot of time, so leave a few hours aside for them. Assignments get a little harder at the end. The midterm was fair, final were hard but curved.",final,education,negative,245,250
56,"Really easy course. Just follow the course notes. It literally tells you how to do everything you need to do. Assignments take a lot of time, so leave a few hours aside for them. Assignments get a little harder at the end. The midterm was fair, final were hard but curved.",final,education,positive,245,250
57,"I had him for lecture and lab for DIG2030. That's really the only class you should take him for. Even still, he seems really uninterested in teaching. for DIG2500 lab, he didn't even do the lab activities our prof told him to do and he was exceedingly late or didn't show up without notice mult times. He's nice. 2030 tests are open notes( not exam)",he's,education,positive,302,306
58,"I had him for lecture and lab for DIG2030. That's really the only class you should take him for. Even still, he seems really uninterested in teaching. for DIG2500 lab, he didn't even do the lab activities our prof told him to do and he was exceedingly late or didn't show up without notice mult times. He's nice. 2030 tests are open notes( not exam)",tests,education,positive,318,323
59,"Dr. Shea is amazing. Her power points are the best! So clear and easy to understand, love how she puts them together. She has a good sense of humor. No homework, just 3 exams and 1 two page paper. Exams are straight from the power points. She uses good examples to help understand the topic. I would love to take her again!:)",dr. shea,education,positive,0,8
60,"Dr. Shea is amazing. Her power points are the best! So clear and easy to understand, love how she puts them together. She has a good sense of humor. No homework, just 3 exams and 1 two page paper. Exams are straight from the power points. She uses good examples to help understand the topic. I would love to take her again!:)",power points,education,positive,25,37
64,"Dr. Shea is amazing. Her power points are the best! So clear and easy to understand, love how she puts them together. She has a good sense of humor. No homework, just 3 exams and 1 two page paper. Exams are straight from the power points. She uses good examples to help understand the topic. I would love to take her again!:)",exams,education,positive,169,174
67,Great class if you can deal with the workload.,class,education,positive,6,11
68,Great class if you can deal with the workload.,workload,education,neutral,37,45
69,Awesome uni to study at with some lovely people. Unreal campus and facilities.,uni,education,positive,8,11
70,Awesome uni to study at with some lovely people. Unreal campus and facilities.,people,education,positive,41,47
