id,text,aspect,category,polarity,from,to
0,"The treatment benefits were huge - all hot flashes stopped within 1 week, skin dryness subsided, irritability was greatly reduced and energy levels are much higher. No seen side effects at this time, although I do worry about the side effects on the liver and long term use with breast cancer increases. Post surgical hysterectomy, started into immediate menopause with all above symptoms, felt drained, tired, hot flashes. Was put on 1mg estrace once a day. The doctor says I will be on for approx. 10 years.",estrace,surgical menopause,neutral,439,446
1,"NONE!!! EXTREME fatique. I was not able to function day to day activities. I spent 14-18 hours a day in bed. My muscles, joints & bones ached. The depression was not relieved, which probably a result of the side effects. I came off the drug slowly ( with help of physician) and now I feel great. The depression is still a possibility but I will NEVER take an anti-depression drug again. I choose to have therapy and ask for the support of my family & friends Slowly declined dosage and am NOW EFFEXOR XR FREE!!!!!!!",effexor-xr,depression,negative,-1,-1
2,"None... did not make my periods any lighter Weight gain... I gained 10-15 pounds while on the pill and because I'm only 4'10, that 10-15 pounds REALLY SHOWS. I've tried other oral contraceptives for my heavy menstrual bleeding and all of them do the same thing... they don't help regulate my menstrual bleeding but they do make me gain weight. In the future, when I need to use a method of birth control, I will not be using oral contraceptives... EVER! My sister is also on this pill (for birth control) and she has experienced many side affects from it, too.",ortho-tri-cyclen-lo,heavy menstrual bleeding,negative,-1,-1
3,A non return of breast cancer night sweats polyps in the womb brought about the menopause weight gain I had a mastectomy and radio therapy followed by 6 months of chemotherapy and then tamoxifen. Weight gain and ceasing mensturation may have been caused byt he combined effects of the chemotherapyt and tamoxifen. Given I had 3 polyps removed it was decided to cease tamoxifen in the 5th year.,soltamox,breast cancer,positive,-1,-1
4,"I had no treatment benefits. Did not stop the sweating, but I started bleeding vaginally quite heavy. I hadn't had a period in 6 years. Then this happened. I also had some mild cramping like you get when your period is going to start. Bright red blood, some clotting as well. Went off of of prempro after 33 days. I am still bleeding but I have been told that this will stop now that I have stopped prempro........also I suggest you look online and get informed about the severe side effects........my doctor in the end stated that she would never take them........would have been nice if she told me this before I did and when she prescribed them for me. all is said above treated for heavy hot flashes and night sweats",prempro,severe hot flashes and night sweats,negative,291,298
5,"I was told to avoid coffee, tea, chocolate & peppermint :'( My hiatal hernia is tiny, but I feel fortunate that I was told about it before it got out of hand. I feel 100% better 90% of the time, and when I don't, it's usually because I forgot to take my pill the previous day. I would prefer for my pain to be treated by diet changes alone, but it's nice to have a pill to rely on. It's my goal to control my pain naturally, wish me luck! nan One a day before the largest meal of my day, normally dinner. Antibiotics for my Ileocecal Valve problem.",protonix,hiatal hernia and ileocecal valve syndrome,neutral,-1,-1
6,"nan Bleeding not even Spotting Ladies: I am sure you may have done lots of researches by now regarding taking Seasonique (PLEASE do before you try to take this drug), and there are lots of negative than positive comments on this drug. I would like to point out a couple of my comments to share with you. I normally have 4 - 5 days menstrual periods every month. But I was not happy and tried to be on this drug because it described 4 periods only per year (WOW! what a great idea, especially I have small child, school, work, and husband). Guess what happen since then? I have been bleeding almost 2 weeks now, and from light to heavy, the worst part is I get all these uncomfortable cramps, keep waking up at night, my personalities change from good to bad, I have not been in a good mood since then. of course not, how can I be in a good mood when my vagina keeps bleeding on me every single day (I am sure no woman likes that), and so on. I spoke with my OB, and she said it's normal. I don't think so, it is completely not normal to me. I have been bleeding, and ruin my daily life style. No wonder it is called Birth Control. How can you have sex with your partner while you have all these symtomps in your body especially bleeding? I stop this drug, and can't wait to have my clean dates back. Ladies: I am not saying all the women's body are the same. But if you want to be on this drug. I would advise you do more researches and read more comments before trying, and other advise is if you think it's a good idea for 4 periods per year, you may want to think twice. Because it's a mother nature for women that has 13 menstrual periods every year, trying to change it and playing with your hormones are the game, unless you like to gamble, then you may want to try this excitment drug, and hope you will win. Otherwise, please consider something else. I am so regret that I did not read all the comments and reviews before I asked my OB to put me on this drug. Therefore, I have to suffer what I deserve (I guess). I just don't want to see another woman to be suffered like me, as I finally found out there are lots of women out there are taking the same drug (before I made up my mind to throw this drug away) that are suffering the same symtomps but still want to continue and hopefully that will work one day. For me, ""no is no"". You can call me chicken or looser or whatsoever. But let me tell you, it is defintely not fun if the drug makes your life changes from okay to worse! Final words...... Good luck if you are on this prescription, and I hope you win, if not, you defintely need these words ""Good Luck""! :)",seasonique,have not stop bleeding,negative,110,120
7,"very firm erection around 20 minutes after initial dose. The 100 mg dose was considerably more efficacious than lower doses. The ""firmness"" of the erection is much more notable at 100 mg. Terrible headache and flushing of chest and face. The flushing of the chest and missive headaches happen every time, without exception. have had ED for most of adult life despite not knowing the etiology.",viagra,erectile dysfunction,neutral,-1,-1
8,"completely ended panic attacks,most sweating,most blushing,much discomfort. more anxiety at first for about 3 weeks. some headaches,nausea I started the medicine 8-10 years ago and took the medicine religously to begin with. Took about 4 weeks to really make a difference. However, did notice change after only a couple weeks. I slack off many times and after a day or two of missed pills I notice dizziness and mild headache plus some nausea. Not good to do, but it happens. After being on the medicine as many years as I have, I don't think it is as effective as others may be, but I have tried many...Prozac,Zoloft and numerous others I don't remember the name of and nothing worked as well for me as Paxil..Another note is that anxiety runs in my family and a few aunts and uncles in my family have had the same good luck with Paxil. I often wonder since we are related if it treats something in our brain the same as it seems to work for this family??? Something to think about if you know someone else in your family that suffers from depression or other mental illness.",paxil-cr,anxiety,neutral,-1,-1
9,"Increased productivity, ability to stay awake during the day. Dry lips & mouth. Teeth grinding. Tough time sleeping. Highly addictive. This was used in conjunction with Lexapro for depression. I started taking it to keep myself awake (drowsiness as a side effect of the LExapro). However I quickly lost about 10 lbs and couldn't stop moving around. Eventually my thinking became jumbled (I don't have ADD). I was constantly thinking in circles.",adderall,depression,positive,-1,-1
