Model,L→A,L→SH,L→W,R→A,R→SH,R→W,D→A,D→SH,D→W,S→A,S→SH,S→W,AVG
BERT-UDA,24.39,25.16,19.8,24.39,20.28,19.8,33.84,30.14,19.8,41.05,37.88,19.8,26.36
AHF,0.0,0.0,0.47,0.0,0.22,0.0,,,,,,,
TransProto,,,,,,,,,,,,,
BGCA,24.39,13.83,4.4,,,,,,,,,,
KETGM,,,,,,,,,,,,,
DALM,,,,,,,,,,,,,
LLM-Augment-Syntax-DA,,,,,,,,,,,,,
KGAN,,,,,,,,,,,,,
SenticGCN,,,,,,,,,,,,,
GPT-4o,,,,,,,,,,,,,
GPT-4 Turbo,,,,,,,,,,,,,
GPT-4.1,,,,,,,,,,,,,
GPT-5.4,,,,,,,,,,,,,
Claude Sonnet,,,,,,,,,,,,,
Gemini 2.5 Pro,,,,,,,,,,,,,
LLaMA-3.1-8B-Instruct,,,,,,,,,,,,,
Qwen2.5-7B-Instruct,,,,,,,,,,,,,
Qwen2.5-14B-Instruct,,,,,,,,,,,,,
LLM-KGKAN,,,,,,,,,,,,,
w/o KG,,,,,,,,,,,,,
w/o Syn,,,,,,,,,,,,,
w/o ARG,,,,,,,,,,,,,
w/o KAN,,,,,,,,,,,,,
