id,text,aspect,category,polarity,from,to
0,thank YOU for your kindness. Your agents went above and beyond to get my stranded family home.,agents,staff,positive,34,40
1,I have no way of making phones calls... Need to handle via Twitter/email/web. Thank you!,reservation,service,negative,-1,-1
2,Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.,flight,flight,positive,81,87
3,", dropped a track on you...",implicit,implicit,neutral,-1,-1
4,"classiq, luv Virgin America. Greetingz",Virgin America,airline,positive,13,27
5,Thanks for the lack of help and the canned response from the 1K desk!,help,service,negative,23,27
6,"Ok thank you, do you provide complimentary hotel accommodations since I'll have to stay overnight?",hotel accommodations,service,negative,43,63
7,Not encouraged that I'll have my CPAP tonight.,mileage members,service,negative,-1,-1
8,how about 3659 YUL-ORD?,private jet,flight,neutral,-1,-1
9,thank you. Been trying for two days to set this up.,setup,service,positive,-1,-1
10,even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?,airport,travel,neutral,-1,-1
11,Thanks for your great customer service today and for helping me get all my travel sorted out!,customer service,service,positive,22,38
12,can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?,flight,service,negative,27,33
13,"Is it me, or is your website down? BTW, your new website isn't a great user experience. Time for another redesign.",check in,service,negative,-1,-1
14,we're still waiting to find out your rep is working hard - most upset about having to wait to tomorrow pm to get to mammoth,rep,service,negative,37,40
15,I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys,delay,flight,negative,-1,-1
16,fav airline,airline,airline,positive,4,11
17,"it’s just a bug report, guys",bug report,service,neutral,12,22
18,can u help with flights to get a 2y old battling cancer who needs treatment in 🇺🇸 💗 🎀 💗,flights,service,neutral,16,23
19,how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? sad,deals,pricing,negative,-1,-1
20,Thanks!,implicit,general,positive,-1,-1
21,ok! first time flying with you tonight :),flight,flight,positive,-1,-1
22,Any luck with finalizing my reservation? I DM'd information to you. Please let me know what else you need. Want to confirm ASAP. Thx,reservation,service,neutral,28,39
23,wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,direct flight,airline,negative,15,28
24,it was credit from my last trip that never came in the mail!,credit,finance,negative,7,13
25,"on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",link,service,neutral,41,45
26,"Do you provide complimentary upgrades to first class, if there are available seats?",upgrades,service,neutral,29,37
27,You should still develop an app - then you will be my favorite airline.,entertainment system,service,neutral,-1,-1
28,Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1),carry on bag,baggage,negative,82,94
29,You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,flight,service,negative,41,47
30,awesome. I flew yall Sat morning. Any way we can correct my bill ?,bill,service,positive,60,64
31,and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,rep,service,positive,19,22
32,agent split up my reservation? Now can't Cancelled Flight and refund credit for 2wks? Why,reservation,service,negative,18,29
33,I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,delay,service,negative,41,46
34,just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight,drinks,service,negative,54,60
35,"flight arrives 30 minutes early, but then have we to wait for an hour for our bags.",wallet,personal belongings,negative,-1,-1
36,"yes, after this awful weather it appears I can get home",customer service,service,neutral,-1,-1
37,6533 ORD to DCA,flight,flight,neutral,-1,-1
38,UA276 sitting at EWR nearly an hour after sked. Pilot says computers down but no clue when we will leave. Can you help?,computers,service,negative,59,68
39,"2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?",flights,service,negative,21,28
40,"is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",flight,service,negative,10,16
41,What is the reason for the delay of the departure of VX 413 from JFK this afternoon?,flight,service,negative,-1,-1
42,trying to book a flight with you guys and your website won't let me... about to lose my business,flight,airline,negative,17,23
