id,text,aspect,category,polarity,from,to
0,"My 14 month old loves these pouches and it ' s a great way of getting broccoli into her diet . she just started being able to do it herself recently , although it ' s sometimes messy . I just wish they were available in the larger size . 3 . 5 ounces is not a lot for a toddler - she can finish this in a minute and would want more . She also loves the spinach , mango , and pear happy baby pouches which are bigger .",happy baby pouches,general,positive,380,398
1,"My 14 month old loves these pouches and it ' s a great way of getting broccoli into her diet . she just started being able to do it herself recently , although it ' s sometimes messy . I just wish they were available in the larger size . 3 . 5 ounces is not a lot for a toddler - she can finish this in a minute and would want more . She also loves the spinach , mango , and pear happy baby pouches which are bigger .",happy baby pouches,general,neutral,380,398
2,"My 14 month old loves these pouches and it ' s a great way of getting broccoli into her diet . she just started being able to do it herself recently , although it ' s sometimes messy . I just wish they were available in the larger size . 3 . 5 ounces is not a lot for a toddler - she can finish this in a minute and would want more . She also loves the spinach , mango , and pear happy baby pouches which are bigger .",happy baby pouches,general,negative,380,398
3,"This is good mustard , it is hot so you have to be careful with it . I like to use vinegar instead of water with it because I think it tastes better that way I like to mix it with regular mustard to give the regular mustard more kick . the container is very large so it will last a long time",mustard,general,positive,13,20
4,Nuts arrived in good time . The cashews were big & very few broken . Top quality compared to what I buy from stores . Definitely 5 star . Will buy from them again .,cashews,general,positive,32,39
5,"Despite a foray into peppermint and chamomile tea as a youth ( following my father ' s lead ) , I ' ve never been an avid hot tea drinker . I read about this tea in Best Life magazine and decided to give it a try for the claimed health benefits of rooibos tea . Healthy or not , this tea is delicious . I drink at least two cups a day , plus a Thermos - ful at work . I prefer it with a shot of Madhava Pure Organic Raw Agave Nectar . It would be nice if I could get a caffeinated version , but I guess I ' ll have to stick to Lipton Black Pearl Tea for that .",rooibos tea,general,positive,248,259
6,"I love this seasoning . I pop a bowl of popcorn ( in my Whirly Pop ) and then sit down with my spray butter ( I can ' t beleive it ' s not butter ) and this seasoning . and there you go - - a low calorie , high - fiber snack . My husband loves the Caramel .",seasoning,general,positive,12,21
7,"I originally started buying Zevia a year ago for my diabetic mother - we actually did some glucose testing just after drinking a can and our glucose levels did not change so that was good to know . The flavors are good , especially Dr . Zevia . I recently was able to but the new flavors in Chicago ( cream , grape and Mountain Zevia ) - the grape was the best ! Recently I switched our entire office to Zevia since I always felt bad buying sugared or chemicaled drinks for the company . At first a couple people were reluctant but now everyone is hooked .",zevia,general,positive,28,33
8,"Excellent product , Herbs were very fresh and fragrant . quick and easy transaction . Product was delivered promptly and packed very well . I will use this company again A",herbs,general,positive,20,25
9,"Nutiva Organic Coconut Oil is the finest quality coconut oil . The flavor is wonderful . I use it as cooking oil , as an ingredient in many dishes , on toast , and even to moisturize my skin . This is an essential product and the 54 ounce jar from amazon . com is a great value .",nutiva organic coconut oil,general,positive,0,26
10,"Nutiva Organic Coconut Oil is the finest quality coconut oil . The flavor is wonderful . I use it as cooking oil , as an ingredient in many dishes , on toast , and even to moisturize my skin . This is an essential product and the 54 ounce jar from amazon . com is a great value .",amazon,general,positive,248,254
11,"I received the first order from Amazon and the biscuits were so dried out that I couldn ' t even crumble them . They sent me a replacement order and it was still very dry . I could , with great difficulty , crumble them for my older dog but I doubt that I will try getting them through Amazon again . When the biscuits are fresh , they are terrific for small or older dogs .",biscuits,general,negative,47,55
12,"Kamut and quinoa combo was very interesting . It isn ' t the best tasting , but it is very comforting . It can make some real good comfort pastas . Cooks fast and easily , and can make some very hearty meals . Very nutritious and high in fibre . It ' s worth a try",kamut and quinoa combo,general,negative,0,22
13,"Kamut and quinoa combo was very interesting . It isn ' t the best tasting , but it is very comforting . It can make some real good comfort pastas . Cooks fast and easily , and can make some very hearty meals . Very nutritious and high in fibre . It ' s worth a try",kamut and quinoa combo,general,positive,0,22
14,I like ginger beer - but was disappointed in this ginger ALE . It is not ginger beer and is especially not Fiery . Then most absurd of all it has ASPARTAME - and is not listed as a DIET drink . False information on this product . I did contact seller - with no response,ginger ale,general,negative,50,60
15,"For a regular cup of coffee , I like the smooth taste of Donut House Extra Bold or Green Mountain Breakfast blend . I did not like this one at all - - I guess it just depends on your taste . I could tell by the burnt unappealing aroma of it that I wouldn ' t like it . It tasted bitter to me with a little bit of a bite to it . This one ' s for you if you like a more bitter / bittersweet coffee - - it just didn ' t appeal to me because I like a smoother taste with less of an aftertaste .",green mountain breakfast blend,general,positive,83,113
16,"For a regular cup of coffee , I like the smooth taste of Donut House Extra Bold or Green Mountain Breakfast blend . I did not like this one at all - - I guess it just depends on your taste . I could tell by the burnt unappealing aroma of it that I wouldn ' t like it . It tasted bitter to me with a little bit of a bite to it . This one ' s for you if you like a more bitter / bittersweet coffee - - it just didn ' t appeal to me because I like a smoother taste with less of an aftertaste .",donut house extra bold,general,positive,57,79
17,I tried this for the first time today and I enjoyed it . It had a mild but bold enough flavor for me that I could drink it in the am and have an afternoon cup when feeling sluggish . No bitterness to it and the smell in the house when it was brewing was as if you were in a Caribou coffee estanlishment . I normally lean towards a more italian or french blend but I really like this . So a great medium roast if that is what you like .,caribou coffee,general,positive,274,288
18,"I got the machine for my birthday a few months ago and the only coffee I drank with it was starbucks . I was sort of disappointed , the coffee was overly strong and i even thought about quitting coffee all together , until . . . I bought gevalia crema . It is by far the best coffee I ' ve ever had . The smell is amazing , the taste is out of this world and it also creates this creamy top that looks like you just brewed a gourmet cup of espresso . I strongly recommend it to all the coffee lovers out there .",gevalia crema,general,positive,238,251
19,"I got the machine for my birthday a few months ago and the only coffee I drank with it was starbucks . I was sort of disappointed , the coffee was overly strong and i even thought about quitting coffee all together , until . . . I bought gevalia crema . It is by far the best coffee I ' ve ever had . The smell is amazing , the taste is out of this world and it also creates this creamy top that looks like you just brewed a gourmet cup of espresso . I strongly recommend it to all the coffee lovers out there .",starbucks,general,negative,91,100
20,"These fudge dipped delights have worked their way into being one of my family ' s favotite snack foods . Far from being your typical thin and bland granola bar , these bars are thick and tasty , and sure to fill your early more tummy , or your late night sugar craving . A "" must try "" products . I have never truly like any other granola bar , but have eaten literally hundreds of these . Yum .",bars,general,positive,168,172
21,This tea was very good . I was Very happy I got it . A tea that is so good for you and will help many things in your body . My breathing felt better after the first cup . I will be buying more again soon . Doug in Calif . . .,tea,general,positive,5,8
22,"I love my garlic spray so much , that i ordered more ! I grow garlic , but I don ' t even bother juicing them anymore , not with this product . There are 150 cloves in every bottle . Thats a lot of yummy garlic . . .",garlic spray,general,positive,10,22
23,"Delicious bbq sauce . Has a spice to it . Thick too , so it ' s great for ribs . Sweet Baby Ray is so far the best I ' ve seen .",sweet baby ray,general,positive,81,95
24,"These cookies taste fresh and sugary sweet , with ` gooey ' chocolate chips , and a ` chewy , ' but cake - like cookie dough texture . There is a firm flavor of vanilla in these cookies , making for a nice contrast with the fudge flavor of the chocolate chips . At 150 calories for two cookies , you ' ll want to pace yourself , or alternatively , buy lots of bags of these bad buys . They taste great with a glass of milk as an afternoon snack . They also taste great with a glass of milk as a morning snack . As an evening snack . . .",cookies,general,positive,6,13
25,"It ' s a great product . I have used it before and , would recommend it . Got a good price from Amazon . com . A smooth transaction overall .",amazon,general,positive,96,102
26,"Have first tried these candy this past summer , when we ' ve traveled . Kept the wrapper so I could try to purchased them online . Thank you amazon for providing sites / sellers of the companies that sells them . These are small candies that I can have without the guilt trip . They also works great for my mother - in - law when her blood sugar runs low . My kids also loves these , but do caution parents with young children , because these candies are really small ( maybe the size of a plain M & M ) .",amazon,general,positive,141,147
27,"Have first tried these candy this past summer , when we ' ve traveled . Kept the wrapper so I could try to purchased them online . Thank you amazon for providing sites / sellers of the companies that sells them . These are small candies that I can have without the guilt trip . They also works great for my mother - in - law when her blood sugar runs low . My kids also loves these , but do caution parents with young children , because these candies are really small ( maybe the size of a plain M & M ) .",candy,general,negative,23,28
28,"Have first tried these candy this past summer , when we ' ve traveled . Kept the wrapper so I could try to purchased them online . Thank you amazon for providing sites / sellers of the companies that sells them . These are small candies that I can have without the guilt trip . They also works great for my mother - in - law when her blood sugar runs low . My kids also loves these , but do caution parents with young children , because these candies are really small ( maybe the size of a plain M & M ) .",candy,general,positive,23,28
29,"I love getting the golden Oreo snack cakesters . I only eat one of the twin packs , it ' s only 110 calories ! I tried the 100 calorie packs and they always tasted kindof stale . Where these are always fresh ! I eat one and put the 2nd one in a zip locksandwich bag and it stays fresh until I decide I need a snack !",golden oreo snack cakesters,general,positive,19,46
30,"I love getting the golden Oreo snack cakesters . I only eat one of the twin packs , it ' s only 110 calories ! I tried the 100 calorie packs and they always tasted kindof stale . Where these are always fresh ! I eat one and put the 2nd one in a zip locksandwich bag and it stays fresh until I decide I need a snack !",golden oreo snack cakesters,general,negative,19,46
31,"I like the chocolate and I like the pseudo - peanut butter taste but ultimately a granola bar survives by the quality of the granola . With this granola bar , it feels like the chocolate is merely there to cover up the fact that the granola is possessed of too much natural fiber without the taste that granola should have . It ' s pretty sub - par granola . These are ok snacks but I like other granola bars better .",granola bar,general,negative,82,93
32,"I like the chocolate and I like the pseudo - peanut butter taste but ultimately a granola bar survives by the quality of the granola . With this granola bar , it feels like the chocolate is merely there to cover up the fact that the granola is possessed of too much natural fiber without the taste that granola should have . It ' s pretty sub - par granola . These are ok snacks but I like other granola bars better .",granola bar,general,neutral,82,93
33,"I try and feed my cats the good stuff , avoiding fillers , grain etc etc . Having read glowing reviews I felt confident that at least one of my three would enjoy this food ( aged 16 , 1 year and 16 weeks ) . Well I have been through most of the flavors and so far , they have walked away from all of them . Packaging is great and the stuff looks almost fit for human consumption ! ! ! But sadly , not for my kitties .",packaging,general,positive,307,316
34,Nantucket Blend coffee is one of my favorites . I was suprised that it was a single box . every time I ordered before it was a 2 pack . My fault for not reading closer . I will not order any more at this price for 1 ( 24 count ),nantucket blend coffee,general,positive,0,22
35,"I am not allowed to have too much caffeine as it sets my heart arrythmias off . However , no matter what decaf I tried I hated the taste . I have been using this for a month now , and not only is it fantastic tasting , there are no jitters or no caffeine effects like with pure coffee . This tastes so delicious and I can have several cups in the morning . Also Amazons price cannot be beat .",amazons,general,positive,362,369
36,"Great quality wholesome nuts , minus peanuts - which aren ' t really nuts , anyway . Not as many pecans or cashews as there are almonds . but a nice mix . Sticking a handful into your mouth will keep you busy for a while and fill you up . Low on carbs , high on essential fats and protein . Excellent !",wholesome nuts,general,positive,14,28
37,These little hard candies are quickly becomming my all time favorite . The flavor of ginger is strong and it packs a punch . Perfect after dinner mint which is how I discovered them . They are given away at a very popular Italian Restaraunt in Downtown Miami . The KC Candy website says they are made from natural ginger so I ' m assuming it ' s the same way I make ginger syrup at home .,candies,general,positive,18,25
38,These little hard candies are quickly becomming my all time favorite . The flavor of ginger is strong and it packs a punch . Perfect after dinner mint which is how I discovered them . They are given away at a very popular Italian Restaraunt in Downtown Miami . The KC Candy website says they are made from natural ginger so I ' m assuming it ' s the same way I make ginger syrup at home .,candies,general,negative,18,25
39,This baking soda works great for cooking or for health reasons . I take it for acid indigestion and heart burn . Just a 1 tsp in a half glass of water and it ' s gone . I use it to make my body more alkaline  so it ' s great for changing your pH level in your body !,baking soda,general,positive,5,16
40,"Sardines sometimes have a bad reputation because the cheaper ones are smelly and covered in tomato sauce or mustard . Crown Prince sardines are neither smelly nor "" fishy "" tasting , and because they are skinless and boneless , can be eaten on crackers , for example , and have the delicate flavor of a well - prepared salmon or tuna . They furnish a high protein content as well as potassium , and are a good source of Omega - 3 . I am starting a regimen of two to three cans per week with the intention of lowering my cholesterol numbers . After trying two other brands , I am satisfied that Crown Prince is excellent in all ways and I need look no further . And , of course , they are delicious .",crown prince sardines,general,positive,118,139
41,These giant gummy bears are horrendous ! They taste like They smell just as bad ! Note in the picture that the blue raspberry bear is GREEN ! I only made it a couple of bites into my blue raspberry one . My husband thought it was awful too .,gummy bears,general,positive,12,23
42,These giant gummy bears are horrendous ! They taste like They smell just as bad ! Note in the picture that the blue raspberry bear is GREEN ! I only made it a couple of bites into my blue raspberry one . My husband thought it was awful too .,gummy bears,general,negative,12,23
43,"Great coffee . I love this k - cup flavor . Delicious full bodied coffee for bold coffee lovers , doesn ' t disappoint . I always buy in bulk , because the price per cup decreases , but also because I KNOW I ' m going to drink a lot . Love this coffee !",coffee,general,positive,6,12
44,"I had no idea exactly how much a pound of flowers would be . Great quality and very plentiful . Arrived in an airtight bag , so I ' m sure it will stay fresh for months . I use it with mint to make wanjo .",flowers,general,positive,42,49
45,"Very tasty . But as a word of caution . Do not over eat these bears . When the label warns you it may have a laxative affect , BELIEVE IT ! otherwise enjoy !",bears,general,positive,62,67
46,"Very tasty . But as a word of caution . Do not over eat these bears . When the label warns you it may have a laxative affect , BELIEVE IT ! otherwise enjoy !",bears,general,negative,62,67
47,"I tried the multigrain chips without any dip or cheese . The flavors were minimally pleasant and reminded me of the chips on airlines flights when the choice is chips or pretzels . I will not make a point to buy these chips if alternatives are available at similar comparable prices . The best chip currently available is the Lant Chips on your Amazon . com site . Original LantChips , Salted , 1 . 5 - Ounce Bag , ( Pack of 28 )",lant chips,general,positive,326,336
48,"I tried the multigrain chips without any dip or cheese . The flavors were minimally pleasant and reminded me of the chips on airlines flights when the choice is chips or pretzels . I will not make a point to buy these chips if alternatives are available at similar comparable prices . The best chip currently available is the Lant Chips on your Amazon . com site . Original LantChips , Salted , 1 . 5 - Ounce Bag , ( Pack of 28 )",amazon,general,positive,345,351
49,"I tried the multigrain chips without any dip or cheese . The flavors were minimally pleasant and reminded me of the chips on airlines flights when the choice is chips or pretzels . I will not make a point to buy these chips if alternatives are available at similar comparable prices . The best chip currently available is the Lant Chips on your Amazon . com site . Original LantChips , Salted , 1 . 5 - Ounce Bag , ( Pack of 28 )",multigrain chips,general,positive,12,28
50,"My husband is an avid coffee drinker . Our son presented him with a Kuerig Brewer for his birthday . That was two years ago . Since that time he has been experimenting with various "" flavors "" of the K - Cups . This Nantucket Blend has become another "" favorite "" of his . Thanks for making it so easy to order and receive from Amazon . .",nantucket blend,general,positive,216,231
51,"If one attempts to rationlize this selection as I do , you conclude that the jalapeno in the jar is one expensive pepper , albeit beautiful , since it displaces one of the seven fillets of truly delectable yellowfin tuna . Stated differently , it is a one dollar jalapeno . However , less is more here because the flavor that results from steeping the tuna in that pepper and in the top quality olive oil is incomparable . Worth every penny . An awesome delicacy .",jalapeno in the jar,general,negative,77,96
52,"If one attempts to rationlize this selection as I do , you conclude that the jalapeno in the jar is one expensive pepper , albeit beautiful , since it displaces one of the seven fillets of truly delectable yellowfin tuna . Stated differently , it is a one dollar jalapeno . However , less is more here because the flavor that results from steeping the tuna in that pepper and in the top quality olive oil is incomparable . Worth every penny . An awesome delicacy .",jalapeno in the jar,general,positive,77,96
53,"I have been feeding my dog Holistic Select Radiant Adult Health Lamb Meal Formula for approximately 4 yrs . He loves it and , in my view , it is a very healthy dog formula . I purchased this product because my dog had a urinary infection due to crystals in his urine when he was a small pup and my vet suggested I change his diet to a formula with a lower percentage of protein . My dog has not had any problems since using Holistic Select . I rate this product 5 stars .",holistic select radiant adult health lamb meal formula,general,positive,27,81
54,"I love this smaller size coffee can 3 cans equal one large container and it ' s cheaper than you can buy it in the grocery stores . I go through a can a week which is perfect because the coffee is fresh until the end - unlike the bigger containers which would taste stale after not even 2 weeks of being opened . And since I use the subscribe & save feature for this , I don ' t even have to put coffee on my shopping list anymore . Love it !",coffee,general,positive,25,31
55,"I love this smaller size coffee can 3 cans equal one large container and it ' s cheaper than you can buy it in the grocery stores . I go through a can a week which is perfect because the coffee is fresh until the end - unlike the bigger containers which would taste stale after not even 2 weeks of being opened . And since I use the subscribe & save feature for this , I don ' t even have to put coffee on my shopping list anymore . Love it !",coffee,general,negative,25,31
56,My doggie loves Greenies she will not go to bed without her Greenie . They are digestible helps clean teeth . They are a bit expensive but they are a good product and I would and do recommend them .,greenies,general,positive,16,24
57,My doggie loves Greenies she will not go to bed without her Greenie . They are digestible helps clean teeth . They are a bit expensive but they are a good product and I would and do recommend them .,greenies,general,negative,16,24
58,"When I was in high school , my mother would always have these around the house . Living in the dorms , I usually only ever find small , overpriced packages of chocolate covered rasins . This is perfect for satisfying my cravings ! It stores very well I ' ve had mine about a month and they taste the same as when I first opened them - delicious !",chocolate covered rasins,general,negative,159,183
59,"When I was in high school , my mother would always have these around the house . Living in the dorms , I usually only ever find small , overpriced packages of chocolate covered rasins . This is perfect for satisfying my cravings ! It stores very well I ' ve had mine about a month and they taste the same as when I first opened them - delicious !",chocolate covered rasins,general,positive,159,183
60,i am thankful for having discovered hint ! i just tried the watermelon and decided i needed to find a source to buy more right away ! i didn ' t find the taste artificial at all . just a light hint . mmmm !,hint,general,positive,36,40
61,"We recently adopted an obese pet and were looking for healthy dog food that could help him lose weight . The ingredients seemed great , but this food made our dog vomit daily and have very soft bowel movements 5 - 7 times per day ! The food did little to help with weight reduction ( even with all the vomiting ) , and we eventually had to switch to a veterinarian - prescribed food instead . Note : Our dog does not have a hypothyroid problem . ) After we stopped feeding our dog this brand of dog food , his stool has become firmer and less frequent , and he is no longer vomiting on a daily basis . As I stated above , the ingredients seemed very healthy and nutritious , but I would not feed this to my dog or recommend it to anyone else .",dog food,general,positive,62,70
62,"We recently adopted an obese pet and were looking for healthy dog food that could help him lose weight . The ingredients seemed great , but this food made our dog vomit daily and have very soft bowel movements 5 - 7 times per day ! The food did little to help with weight reduction ( even with all the vomiting ) , and we eventually had to switch to a veterinarian - prescribed food instead . Note : Our dog does not have a hypothyroid problem . ) After we stopped feeding our dog this brand of dog food , his stool has become firmer and less frequent , and he is no longer vomiting on a daily basis . As I stated above , the ingredients seemed very healthy and nutritious , but I would not feed this to my dog or recommend it to anyone else .",dog food,general,negative,62,70
63,"Got three different Amish popcorn ' s for my daughter ' s Birthday . . she is always on a diet , I got her the hot air popper same time . she & my grandson . . he ' s 4 ) loved it . . she ate a bowl every night & still lost 15 lbs ! ! not saying it ' s a diet food , just satisfiing ! !",amish popcorn,general,positive,20,33
64,"Being a cinnamon candy nut at Valentines , I was pretty excited to learn Jelly Belly had SIZZLING CINNAMON beans . Figured they would be hotter than the regular cinnamon , which to this Texas taste bud girl just is not so hot . Unfortunately , there ' s less of a cinnamon bite in these than regular cinnamon . So if you like hot cinnamon candy , keep looking ! Rebecca Kyle , February 2009",sizzling cinnamon beans,general,negative,89,112
65,"I read the great hype about this cat food . It sounded like the best thing I could give my cat . Unfortunately , I didn ' t even finish a complete 4 lb bag when my cat got blocked and he had to be rushed to the clinic . So even though they say it is for their urinary tract health with proper pH to prevent struvite crystals , don ' t believe it . I would have rated this food zero but the system made me rate it at least one star . )",cat food,general,positive,33,41
66,"I read the great hype about this cat food . It sounded like the best thing I could give my cat . Unfortunately , I didn ' t even finish a complete 4 lb bag when my cat got blocked and he had to be rushed to the clinic . So even though they say it is for their urinary tract health with proper pH to prevent struvite crystals , don ' t believe it . I would have rated this food zero but the system made me rate it at least one star . )",cat food,general,negative,33,41
67,"I had these candies at the Ethos Greek restaurant in NYC . I grabbed one from a candy bowl and walked out , thinking it would be a mint . But when I popped it in , the intense anise flavor bursting throughout my mouth , I immediately wanted to turn around and grab a handful . They ' re absolutely delicious , they cleanse your palette , and make your breath smell like sweet licorice . Don ' t let their small size fool you , they pack a punch .",candies,general,positive,12,19
68,"This is excellent espresso coffee . I have bought multiple packs of this coffee in the past year , but have never before reviewed it . I use it both in my stovetop percolator and my electric espresso machine . It has never disappointed , always great quality , excellent crema and refreshing results ! 5 / 5 stars .",espresso coffee,general,positive,18,33
69,"One of my cats has a sensative stomach , I bought this cat food and all three of my cats love it . It has stopped my cat from throwing up the cat food with food coloring in store bought cat food . I bought all 4 flavors . They all love it . Their coats coats have become very shiney . I am impressed .",cat food,general,positive,55,63
70,"Yes , it has sugar in it but cranapple juice is DELICIOUS . And you will not gain weight from drinking cranapple juice there ' s not enough sugar in it for that . Plus , sugar doesn ' t make you gain weight unless you already are eating too fat and calories . I ' ve drank it for months and have not gained any weight .",cranapple juice,general,positive,29,44
71,I love juice . It is my favorite beverage . Now this product adds a little zing to regular fruit juice . It is verrefreshing and a great beverage . Love the flavors . Not sugary sweet but a little tart and with the carbonations a little zing .,product,general,positive,53,60
72,My dog loves these . The doggie store suggested to me that these were more effective than greenies in cleaning teeth but who knows . Sage seemed more apoplectic when offered these vs . Greenies . The packaging is really nice and the idea of Fliet Mignon really appealed to Sage . slightly more expensive than greenies and fewer choices .,packaging,general,positive,200,209
73,"My dog absolutely loves these tiny treats . The size of the bag is nice because the amount of treats lasts a long time . Coaxing her to get into the car was difficult until I remembered that these treats worked so well with training why not tempt her into the car with these too , voila after about 5 mins no problem . Now she doesn ' t need the treats to get in . They are a great reward after tedious brushing so she puts up with combing knowing she will get them . I buy different flavors and she loves them all .",treats,general,positive,35,41
74,"My dog absolutely loves these tiny treats . The size of the bag is nice because the amount of treats lasts a long time . Coaxing her to get into the car was difficult until I remembered that these treats worked so well with training why not tempt her into the car with these too , voila after about 5 mins no problem . Now she doesn ' t need the treats to get in . They are a great reward after tedious brushing so she puts up with combing knowing she will get them . I buy different flavors and she loves them all .",treats,general,negative,35,41
75,"Simply Fiber ' s taste ( or lack of taste ) is one of its strengths , in my opinion . I have it with fruit , cinnamon , and powdered stevia for breakfast . But it ' s also great as croutons in salad , tossed into soup , and crushed and used as a kind of breadcrumb substitute . Add it to a variety of foods to get your fiber . Much cheaper here on Amazon than in my local health food store .",simply fiber,general,positive,0,12
76,"Simply Fiber ' s taste ( or lack of taste ) is one of its strengths , in my opinion . I have it with fruit , cinnamon , and powdered stevia for breakfast . But it ' s also great as croutons in salad , tossed into soup , and crushed and used as a kind of breadcrumb substitute . Add it to a variety of foods to get your fiber . Much cheaper here on Amazon than in my local health food store .",amazon,general,positive,348,354
77,"I find this coffee has a distinctive flavor with a little bit of extra kick . I like it better than the other "" Kona blend "" K - cups that I ' ve tried and I feel that it is richer than the other such brands sold by Amazon . I generally drink it with skim milk and no sugar , although I ' m sure that it would taste fine black or sweetened if one prefers . Of course , personal preferences vary , but if you ' re looking for an excellent K - cup coffee that suits your taste this one is at least worth a try .",k - cup coffee,general,positive,438,452
78,"Kenco coffee is good not great . I have just recently bought a tassimo machine and have been trying out different coffee ' s and tea ' s . This may be a hair above the maxwell house or about the same . So far my advice to you is to wait till the starbucks goes on sale ( and it does quite often here on amazon and walmart ) because thier house blend , breakfast blend and columbian are all really good . It seriously tastes like you went to a Starbucks and bought the coffee but at 1 / 3 the price ! ! !",kenco coffee,general,neutral,0,12
79,"Kenco coffee is good not great . I have just recently bought a tassimo machine and have been trying out different coffee ' s and tea ' s . This may be a hair above the maxwell house or about the same . So far my advice to you is to wait till the starbucks goes on sale ( and it does quite often here on amazon and walmart ) because thier house blend , breakfast blend and columbian are all really good . It seriously tastes like you went to a Starbucks and bought the coffee but at 1 / 3 the price ! ! !",columbian,general,positive,372,381
80,"Kenco coffee is good not great . I have just recently bought a tassimo machine and have been trying out different coffee ' s and tea ' s . This may be a hair above the maxwell house or about the same . So far my advice to you is to wait till the starbucks goes on sale ( and it does quite often here on amazon and walmart ) because thier house blend , breakfast blend and columbian are all really good . It seriously tastes like you went to a Starbucks and bought the coffee but at 1 / 3 the price ! ! !",breakfast blend,general,positive,352,367
