id,text,aspect,category,polarity,from,to
0,"Very well made , great contents . The only reason I removed a star is it seemed to me there was more topics in the quizes than in the course itself in the first part . It was a bit confusing and the quizes required to look up information on the internet and there was no real way to know these topics would be in the quizes . Otherwise , I enjoyed the class and learned a gread deal .",quizes,assignments relatability,negative,115,121
1,"I so thoroughly enjoyed this course Barb Oakley is wonderful and engaged me the whole time . I will be reviewing this course as much as I can over the months to get those "" chunks "" into my head . Testing always has me concerned but the advise here made a lot of sense , like getting a good sleep the night before ! ! Thanks",course,course general,neutral,29,35
2,"I took this course with a special interest on the musical aspect , namely the blues , of course . In that regard the course is very superficial , but has some interesting stuff even so . The other aspects of literature , painting , and the more popular arts ( kilts , oral traditions , etc . ) where a nice surprise . This course gives a view of a cultural aspect of America that is very interesting and mostly unknown , particularly , I guess , to a non American . I advise this course to anyone who is interested in ethnology , folklore and popular art and music and is not already familiarized with the American South .",course,course general,positive,12,18
3,Thanks Chuck . It was really nice classes . I have enjoyed a lot . Specially you are asked me a question to answer : ) . I am from Bangladesh . I wonder if there is anybody from completed the same course from here !,Chuck,faculty general,positive,7,12
4,"Thanks Dr Chuck for a perfect , easy and interesting course . All topics that were discussed contain source code that is self described and easy to understand . I recommend this course to everyone who wants to learn something new . Many thanks to Dr Chuck and all people who make this course open to everybody . And thanks Coursera also : )",Dr Chuck,course general,positive,7,15
5,"Great course first of all . One problem about the course is probably going to be the lectures . The lectures are explaining fundamental basics in Swift , which are really useful , but they are not comprehensive enough . So for most of the students , I believe , will have to do a lot of self - studying to finish the final project . But still , the final project is challenging and interesting . Swift is not a hard language to learn , so after went through all the lectures and read some books on Swift programming , I was able to finish the project .",lectures,presentation comprehensiveness,negative,85,93
6,"This is a lousy course . The subject and material could be interesting ; however , the lectures are inanimate and the quizzes are a Rubic ' s cubes of sudden death with no value to assess whether you ' ve understood the key points of the lectures ! While this course was a timed release ( implying someone at the U of Copenhagen is involved with it week to week , it feels as if it is an archived course with no live administration ; the only interaction you seem to have is with other students . This has got to be the worst Coursera course I have taken and I have taken quite a few .",course,course general,negative,16,22
7,"I am halfway through the course and while the course is able to give good intuitions of what ' s going on at any one point in time it often lacks dept . The real reason I ' m rating it 3 / 5 , though , is that the mathematical notation is all over the place . You will find a matrix product such as A * B ' only to go on and implement A ' * B . This is SO confusing . I would still recommend this course , but you should definitely record every single lesson again without mistakes and fix those errors .",course,course comprehensiveness,negative,25,31
8,Difficult as hell . When You complete it You really start understanding this area but I think due to level of difficulty teaching staff should be a little more active . Big difference in difficulty in lessons ( which are easy ) and test ( which are sometimes incredibly difficult ) . If You want to work in Big Data field You HAVE TO complete this course but . . . expect hell .,teaching staff,faculty response,neutral,121,135
9,"The course is a well thought and masterfully set of lessons on the main principle of journalism : it talks ethics starting from maybe old concepts that surprisingly are still fitting today . Being a basic course , it is very easy to follow and finish . Quizzes are alternating between very good and very bad . Tough ethical decisions and a space to discuss them is a really great thing , but peer grading two phrases essays with only the ability of telling yes or no doesn ' t make for a good use of the crowdsourcing the very course is advocating . The videos seem to have been made with an indecent knowledge of the technology , especially for journalists who are supposed to use it daily ; green screens were used so badly as some parts of the professors "" spark white "" , and slides are often cut away and put back in view while the teacher is talking about it , which was downright infuriating . It still qualifies for a very good opening course in journalism , but needs serious improvement .",Quizzes,assignments quality,neutral,253,260
10,"This course is excellent . One of the best course I did in my life . Tips like pomodoro , deliberate practice , gave me deep insights on to how we really learn and master subjects . More importantly , this course now gave me the confidence that I can learn anything with an attitude of learning even though I have no talent / interest towards it . Thanks for the instructors , for taking the time and putting it all together and giving it free via coursera .",coursera,platform prices,positive,448,456
11,"Great experience ! This course is really well structured . It have short but very objective lessons with really good take home messages . Easy to understand , and no time consuming . Congratulations to the organizers , specially to Maya Adams . I recommend this course to every one .",course,course comprehensiveness,positive,24,30
12,"This was so far the best free online course I have done . Great videos in which Dr . Vázquez - Cognet well explained the Microeconomics Principles , in a lively interactive way while using good examples from a daily life . The weekly multiple choice quiz which could be repeated ( varying the questions ) until the subject is fully undertood and minimum score met also contributed to a good understanding of the subject . Unfortunately I got too little time left to participate in the discussion forums . This course motivated me to study further Economics related courses and I would definitely recommend it to anyone interested in the subject and who is new to Microeconomics like me .",videos,presentation quality,positive,64,70
13,"This course is very good at explaining both how and why you would do things a certain way in Unity , something that is missing from most of the tutorials you can find out on the Internet . The professor explains concepts behind why you need to use certain components instead of just giving a list of things to match up to replicate the projects . I ' ve rated it 4 out of 5 stars not based on the content , but because the response time , interaction , and feedback could be improved upon . The content is definitely 5 of 5 . I took this during the first run of the course , so I ' m sure that the course staff will improve on this in the future once they get a bit more used to running a MOOC on Coursera .",tutorials,material quality,neutral,144,153
14,"I found the course was very confusing and the language used in the quizzes and exams didn ' t always match the language used in the lessons making it very difficult to understand what was wanted . For a non - specialist , statistics is almost always a struggle , intently making it more difficult by trying to use trick questions and application in the quizzes and exam beyond what was covered in the course makes it really really difficult for those of us who are naturals at math . I worked really hard in the course and finally made it thought all 6 weeks of the course but after one try at the final exam I said to myself enough is enough . I hate being a quitter , but I was not learning statistics and causing myself many headaches and feelings of inferiority and self - doubt because I just couldn ' t match the quiz and exam questions to the material covered in the course . Maybe other people are much smarter than I am , but this source was a soul and time killer for me .",quizzes,assignments comprehensiveness,negative,67,74
15,"Pace is extremely slow . The instructor writes and talks simultaneously . The words are put so slow that it puts me off too sleep at times . I love taking courses where the instructor speaks at the right pace and keeps you involved . Carlos , the co instructor . One of the perfect MOOC is Calculus One by Jim Fowler",instructor,faculty general,negative,29,39
16,"Learnt a lot of stuff on how things happen inside all of us . Struggled in few sections , as i have not been in tough with physiology . . . Feel program could be much more valuable by using1 ) 3D videos to support the lecture2 ) more examples of the application of the concepts in real life3 ) increase the extent of interdisciplinary elements ( Sports , medical , day in the life . ) 4 ) Videos of Experts to share their findings / research",Videos,presentation relatability,negative,196,202
17,"This course is really well put together . The lectures are easy to follow and explain all points very clearly . I appreciate the supplementary quizzes to help me cement the knowledge from the lectures . The course provides tons of extra resources , so that you can entrench yourself in the learning as much as you like - - or you can just follow the lectures to learn the essential . My only recommendation would be to add more in - video questions .",resources,material quantity,positive,237,246
18,This is a great course ! Gary teaches always with a smile on his face and with great everyday life examples ! I loved it because it provides great insights for corporations or ventures by linking econ . theories to businesses . Thanks a lot ! Great teacher !,Gary,faculty relatability,positive,25,29
19,I enjoyed this class . It is very open and organic . Creativity is encouraged and very few restrictions and rules are imposed . I found the class to be well - taught and I looked forward to participating in every week of class .,class,course general,positive,15,20
20,"Very professional course , thank you for that ! The only thing I was missing in this course was how to learn in non - academical conditions . How to find time if you work 8 hours per day and come home tired while you have prepare something to eat and so on . . How to motivate yourself if there is no test , if you are learning only for yourself ? How you can practice that what you are learning if you are doing something completely different in your professional life ? These are questions for that I really need an answer , the rest I know from your course , big thank you once again ! : )",course,course workload,negative,18,24
21,Week 3 application assignment is buggy . If you input correct answers they will be marked as incorrect . You must use trial and error to find the wrong answers the quiz is looking for . It ' s a badly designed assignment that wastes students ' time and creates a lot of frustration . Would not recommend the course because of it .,assignment,assignments quality,negative,19,29
22,"This class ' information was very mistaken when it failed to mention that you would need background in the subjects being covered to take this course . The teachers , while it is clear that they are very knowledgeable in their fields , fill their lectures with unnecessary jargon . I ' m not sure if they are primarily researchers who aren ' t used to teaching or if they are only used to teaching students who are far advanced enough that the vocabulary of those fields are second nature to them . As someone who was taking this class without that advantage , I was quickly lost among all the jargon , to the point where I just had to stop . I ' m hoping the find something else that is truly an overview meant for someone without a science background .",course,course general,negative,143,149
23,"I think the textbook does a great job of explaining things very well . I did not watch any videos so can not comment on them as supplements to the textbook . However , after taking this course , I do feel like I have a good foundation for learning Python and code in general . My only criticism is that the course still uses an older version of Python which has some differences and can make the learning frustrating if you are not aware of those differences . Granted , with a free textbook for an older version this is a minor issue thus far in the series .",course,course general,negative,186,192
24,"Like part 1 this course is very informative for anyone new to android development . Pacing is good . The assignments are well developed and clear , although I found one to be on the really tricky side . Good course .",assignments,assignments quality,positive,105,116
25,"lecturer is very monotone and isn ' t engaging . Course also focuses a lot on the history when it would be more relevant to look to the future . It is peer graded which is extremely unreasonable , people do not read the submissions fully or fully have the knowledge to be able to grade someone else ' s work . People also have different standard which causes a large variation in grades . Grading rubric does not include areas for where extra research has been done either",Course,course relatability,negative,49,55
26,"This continues Dr . Chuck ' s easing into Python . It ' s a great course for beginners but you should definitely augment the class with reading the book rather than just keeping it as a resource . The existence of the book is noted in the videos but it isn ' t really stressed , which is unfortunate as it ' s helpful . About the only thing I ' d appreciate would be more exercises to develop mastery rather than just familiarity .",exercises,assignments quantity,neutral,372,381
27,"Nice and challenging ! Thanks so far . The assignments are somewhat hard , but not too hard . Forced me to sit down and think . That ' s very good .",implicit,course quality,positive,-1,-1
28,"As the second course in the specialization , I continue to find the material covered to be useful and fairly easy to learn . Between the first and second course , I feel like both courses were able to lay and build upon a foundation of knowledge with each chapter covered . I did find the second course to be a little more difficult , but one would expect this with the addition of more code learned . However , I still felt like the graded exercises weren ' t too difficult to complete as a beginner to Python . Can ' t wait to enroll in the next course !",material,material comprehensiveness,positive,68,76
29,"I enjoyed the lectures , but I felt they didnt go into enough details on analysis of sequence data . The final project was considerably harder than the material taught in the class and problems with the course ( e . g . the final exam file not being available ) had obviously not been fixed since the last version of the course . A fell I now have a good basic understanding of python but not enough to do any real analysis . Fantastic course mentor / TA .",final project,assignments comprehensiveness,negative,105,118
30,I ' m glad to have completed this course but also to find this interesting and helpful course here in coursera . I think ita has concies and helpful tool for the everyday management and leadership issues at enterprises . I ' ll apply all what I learned here and I would say thanks to all the tem who made it . Thank you !,course,course general,positive,34,40
31,"I really enjoyed this course ! First of all I would like to congratulate the people behind this effort . The videos are clear , to the point and they contain very useful information and tips that are very difficult to get from a book . I hope that you will continue with a second course on Spark and Scala with more advanced topics . Thank you very much .",course,course general,positive,22,28
32,"Good class , knowledgeable professor . I would have preferred if some of the longer sessions ( closer to 20 minutes ) were split into two sessions . I didn ' t like the conversational style of this course , though , because it felt impersonal . It would have felt more personal to me if it had just been Dr . Fredericks on camera . I thought the session where Kelly Stacks was interviewed was worthwhile and good to include .",course,course general,negative,198,204
33,"This course feels a lot like it ' s being taught by a non - teaching professor . The lectures are very long , not chunked for easy viewing ( to the point where I couldn ' t download to my phone for offline / off - wifi use ) . There are very long locally - hosted readings ( so they ' re hard to print and you can ' t add them to an offline reader app ) , and the Reading section for each lesson seems to be a bibliography ( rather than actual reading assignments ) , because there are no links and some refer to "" Selections "" without giving page numbers or , in at least one case , a multi - volume book . The information is comprehensive and very valuable , but the delivery is very lacking as a MOOC .",assignments,assignments relatability,negative,452,463
34,"Very little content on offer other than some short clips and mildly interesting readings . The vast majority of the course is dedicated to short writing tasks that are supposed to get you engaged ( i . e . discussing ) diplomacy , but the practical effect is at best busy work with little new knowledge or insights gained . Extremely disappointed .",course,course relatability,neutral,116,122
35,"One of the Best Courses I ' ve ever learned . The video ' s are crisp and full - fledged . Learned something new almost everyday . Thankyou Coursera and UOL . ) Looking forward to learn more on Information Security , Cyber Security and Digital Forensics .",Coursera,platform general,positive,140,148
36,Terrible . Nobody seems to monitor the forum . No response to questions posted . I want to rate zero but there is no such option available .,implicit,course general,negative,-1,-1
37,"I loved this course and Dr . Chuck makes it easy to follow . I have prior programming experience , but was self - taught , so this helped structure some of my learnings . My only suggestion is to use a different color instead of white on neon for the blackboard drawings to make them easier to see . Other than that , I give this course 5 stars . I ' m looking forward to my next course in the Python specialization series .",implicit,presentation quality,neutral,-1,-1
38,"Very good hands - on approach to practical machine learning . However , as the models get more complicated , some of the material isn ' t really explained very well , specially the last module about ' deep learning ' is quite superfluous . I also wish , the course favored providing a bit more mathematical intuition over just graphlab usage . All things aside , if you are really curious about machine learning you should take this course . Be hungry !",course,course general,neutral,258,264
39,"Thank you Dr . Zwetsloot , your lessons and examples were : practical , crisp an clear . Learned a lot . Just wish I had slides to refer to . Can you include that in the future ?",Dr . Zwetsloot,faculty general,positive,10,24
40,"I am very much enjoying how my professor breaks everything down to the simplest form . I find myself applying what I have learned to my everyday writing as well as things I read and watch . He is upbeat and energetic and the assignments are fun ! Although he asks for 200 words and I find that difficult because I am accustomed to writing a small novel for each answer , as you can clearly tell from my review of this course . I would recommend this course to anyone who wants to begin writing or to writers who want a fundamental understanding of what they are already doing .",course,course general,positive,418,424
41,"It feels like this course was abandoned by the instructors . The Programming Assignments are practically impossible to be done unless you have previous programming experience . Other than swirl , it would be very helpful if there were basic optional exercises for those who have never programmed before . I worked hard to be able to follow it , but if I knew how uninvolved the instructors were , I would have saved my money and spent it on a course with active involvement from those who developed it . Disappointing .",course,course general,negative,19,25
42,Great communicator ! Just it needs more content . I already knew most of the things ! However I have enjoyed . Congrats !,content,presentation quantity,neutral,40,47
43,"I love this course very much , thank you . I wish an Arabic subtitle for they have poor English , and that ' s my mail if you want any help in ( promoting the course when you translate it into Arabic Language ) heshammoh80 @ gmail . com -",course,course comprehensiveness,neutral,12,18
44,"This was a good course . The lectures were a good length , they were interesting and very easy to understand . The lecturer was articulate and easy to follow . I liked the way the readings supported the course and the dognition stuff will be really useful . The citizen science material was also interesting . A useful and practical course that was fun and interesting to do .",course,course comprehensiveness,positive,16,22
45,"I am very grateful to you this introductory course , it has helped me a lot . I ' m about to start a Master of Public Health and the seen here will be a great support . The topics were handled in a very practical way and explicit . No doubt in finding new college courses to which they belong , and considers much a doctorate . Greetings from Acapulco , Mexico .",course,course general,positive,44,50
46,"From the basic layout of the course you would assume it ' s for beginners since it covers step - by - step instructions to install software and run command on command line window . But on the other hand , many advanced concepts are slipped in this course without even basic introduction . I remember in one class , "" data dredging "" is discussed for about 2 - 3 minutes . But the instructor did not give a brief description about what it is , instead it just goes on about when you do not have clear question in your mind , you would run the risk of data dredging . I think the course could be organized in a better way . But I do appreciate the instructors ' hard work of putting up such a 10 - course specialization .",course,course quality,neutral,29,35
47,"Before I took this course I took the Stanford Machine Learning course , which I greatly enjoyed . That course allows for the learning of difficult concepts in a way that I found less painful than working through a textbook . In this course there is a lot less video content , and the coding assignments are less interesting . Expect to spend a lot of time understanding the nuances of the code that the instructional team has developed , and be prepared to really pore over the gritty aspects of Octave or MATLAB . If you ' re serious about this course I suggest buying the accompanying book . The slides are not easy to understand without the audio narration , which makes them difficult to review , and unlike the case in the ML course , there are not a lot of readily available open introductions written on the topics .",video content,material quantity,negative,260,273
48,"Really good course BUT be prepared for a very fast pace of the lectures . I ' d placed in the "" advance beginner "" or "" intermediate low "" level , therefore , you need to have previous knowledge of Python . As in College , lectures and assignments are somewhat related , but you will spend some additional time investigating by yourself to get the appropriate responses . Again , just like College where Lectures are level 2 - 3 but assignments are level 7 - 8 ( out of 10 ) .",course,course relatability,neutral,12,18
49,"It ' s exactly what it says it is . A basic introduction to meteorJS framework . Although meteor is moving at a fast pace , this course . doesn ' t . It teaches a slightly older version of it .",meteorJS framework,course general,negative,60,78
50,"Great course , really covered so many details ! I really enjoyed this one . This course , together with an intro course , is what I ' ve been really expecting from this specialization . I especially liked the idea with the assignment being given only on the last week of the course . Already recommended those 2 courses .",course,course quality,positive,6,12
51,I found it extremely interesting and useful . It is a compact course but has given great mental tools to help in learning . The list of optional readings is helpful in getting a deeper understanding . I feel quizzes could have been a little more challenging . I really enjoyed the videos and from them have learnt how to deliver a video lecture . Thank you,videos,presentation quality,positive,281,287
52,"This course is really well put together . The lectures are easy to follow and explain all points very clearly . I appreciate the supplementary quizzes to help me cement the knowledge from the lectures . The course provides tons of extra resources , so that you can entrench yourself in the learning as much as you like - - or you can just follow the lectures to learn the essential . My only recommendation would be to add more in - video questions .",in - video questions,assignments quantity,neutral,428,448
53,Michael ( the lecturer ) did a wonderful job delivering the lessons in an easy to understand manner . The whole course was easy to follow . I don ' t recall any ambiguity in his teachings and his voice was clear . I also enjoy some of the assignments because I surprise myself by producing some great images . My main problem is the instructions of the assignments that causes a lot of students to be confused ( there are many complaints expressed in the Discussion forum ) .,assignments,assignments quality,positive,239,250
54,One of the best courses I have taken so far . The instructor is simply the best and the material is awesome . I learnt so much and could not stop until I finished . Great job Prof . You are the best .,courses,course general,positive,16,23
55,"Much harder than I thought . Very in - depth introductory learning of python . Preferably better if you allow scripting in . py because notebook is rather heavy and hard todebug while assignments . Hope you cover a bit more in detail with language structure , as well as give hints for solving assignments , since many parts were pretty above course level . I would say the assignments were hard even for an R practitioner learning python like myself .",course,course comprehensiveness,negative,343,349
