Model,L→U,L→H,R→U,R→H,D→U,D→H,S→U,S→H,AVG
BERT-UDA,,,,,,,,,
AHF,,,,,,,,,
TransProto,,,,,,,,,
BGCA,,,,,,,,,
KETGM,,,,,,,,,
DALM,,,,,,,,,
LLM-Augment-Syntax-DA,,,,,,,,,
KGAN,,,,,,,,,
SenticGCN,,,,,,,,,
GPT-4o,15.72,14.21,15.72,14.21,15.72,14.21,15.72,14.21,14.96
GPT-4 Turbo,,,,,,,,,
GPT-4.1,,,,,,,,,
GPT-5.4,,,,,,,,,
Claude Sonnet,,,,,,,,,
Gemini 2.5 Pro,,,,,,,,,
LLaMA-3.1-8B-Instruct,,,,,,,,,
Qwen2.5-7B-Instruct,,,,,,,,,
Qwen2.5-14B-Instruct,,,,,,,,,
LLM-KGKAN,,,,,,,,,
w/o KG,,,,,,,,,
w/o Syn,,,,,,,,,
w/o ARG,,,,,,,,,
w/o KAN,,,,,,,,,
